edge_id,avg_speed,avg_pace,pace_group,pace_color,time,dist,elev_gain,uphill_perc,uphill_perc_group,uphill_perc_color,geometry
257,0.4,47.72,More than 45 min/km,#feebe2,1.5,0.02,3.4,17.0,From 15% to 22.5%,#74a9cf,"LINESTRING (2.347686 41.801184, 2.347749 41.801195, 2.347805 41.801213, 2.347866 41.801211, 2.347935 41.801177, 2.347996 41.801185)"
258,1.02,17.64,From 15 to 30 min/km,#f768a1,1.4,0.08,17.4,21.75,From 15% to 22.5%,#74a9cf,"LINESTRING (2.347996 41.801185, 2.348068 41.801199, 2.348122 41.801236, 2.348163 41.801275, 2.348222 41.801302, 2.348281 41.801312, 2.348341 41.801327, 2.348402 41.801356, 2.34846 41.801374, 2.348538 41.801378, 2.348605 41.801375, 2.34861 41.801428, 2.348574 41.801477, 2.348532 41.801511, 2.348504 41.801553)"
261,0.89,19.96,From 15 to 30 min/km,#f768a1,9.23,0.46,106.8,23.22,More than 22.5%,#0570b0,"LINESTRING (2.348504 41.801553, 2.348499 41.801598, 2.348542 41.801631, 2.348605 41.801628, 2.348656 41.80166, 2.348714 41.801689, 2.348781 41.801694, 2.34885 41.801712, 2.34891 41.801724, 2.348954 41.80176, 2.348938 41.801813, 2.348942 41.80186, 2.348955 41.801912, 2.348944 41.801958, 2.348959 41.802002, 2.348997 41.802046, 2.348974 41.802092, 2.349011 41.802139, 2.349039 41.80218, 2.349096 41.802207, 2.349142 41.802241, 2.349207 41.802253, 2.349256 41.802288, 2.349322 41.802312, 2.349399 41.802323, 2.349436 41.802364, 2.349497 41.802376, 2.349524 41.802421, 2.349556 41.80246, 2.349597 41.802498, 2.349637 41.802542, 2.349644 41.802592, 2.349696 41.802622, 2.349747 41.802654, 2.349801 41.802679, 2.34985 41.802712, 2.349908 41.802746, 2.349936 41.802795, 2.34996 41.802837, 2.349977 41.802886, 2.350024 41.802921, 2.350078 41.802946, 2.350118 41.802986, 2.350174 41.803006, 2.350227 41.803032, 2.350281 41.803069, 2.35034 41.803085, 2.350394 41.803108, 2.350443 41.803142, 2.35043 41.803201, 2.350455 41.803247, 2.350498 41.80328, 2.350532 41.803323, 2.350559 41.803368, 2.350598 41.803406, 2.350644 41.803443, 2.350685 41.80348, 2.350729 41.80352, 2.350755 41.803567, 2.350793 41.803603, 2.350826 41.803644, 2.350856 41.803689, 2.350896 41.803728, 2.350932 41.803775, 2.350985 41.803798, 2.351032 41.803834, 2.35103 41.803883, 2.351056 41.803933, 2.35111 41.803957, 2.351157 41.803991, 2.351212 41.804013, 2.351257 41.804046, 2.351287 41.804085, 2.351339 41.804121, 2.35137 41.804165, 2.351407 41.804201, 2.351447 41.804237, 2.351486 41.804277, 2.351525 41.804313, 2.351557 41.804358, 2.351595 41.804399, 2.351631 41.804444, 2.351674 41.804489, 2.35172 41.804522, 2.351745 41.80457)"
262,0.96,18.18,From 15 to 30 min/km,#f768a1,8.45,0.47,77.8,16.55,From 15% to 22.5%,#74a9cf,"LINESTRING (2.351745 41.80457, 2.351752 41.804617, 2.351782 41.80466, 2.351801 41.804704, 2.351832 41.804743, 2.35187 41.804779, 2.351929 41.804801, 2.351962 41.804841, 2.352023 41.804848, 2.352072 41.804879, 2.352105 41.804921, 2.352153 41.804951, 2.35217 41.805001, 2.352224 41.805029, 2.352281 41.805059, 2.352321 41.805095, 2.35236 41.805144, 2.352413 41.805166, 2.35245 41.805212, 2.352492 41.805254, 2.352548 41.805293, 2.352611 41.805309, 2.352661 41.805349, 2.352714 41.805374, 2.352771 41.805402, 2.352828 41.805436, 2.352866 41.805471, 2.352927 41.805483, 2.352991 41.805506, 2.353039 41.805534, 2.353102 41.805552, 2.353154 41.805582, 2.353209 41.805607, 2.353244 41.805653, 2.353297 41.805677, 2.353354 41.805702, 2.353393 41.805743, 2.35344 41.805775, 2.353506 41.805793, 2.353557 41.80582, 2.353628 41.805841, 2.353689 41.805852, 2.353754 41.805861, 2.353833 41.805868, 2.353898 41.805883, 2.35396 41.805909, 2.354021 41.805925, 2.354062 41.805961, 2.354116 41.805985, 2.354165 41.806015, 2.354223 41.806031, 2.354297 41.806036, 2.354355 41.806052, 2.354398 41.806087, 2.354453 41.806112, 2.354525 41.80613, 2.354578 41.806154, 2.35463 41.80618, 2.354687 41.806199, 2.354745 41.806228, 2.354798 41.806253, 2.354859 41.806274, 2.354907 41.806321, 2.354967 41.80634, 2.355023 41.80636, 2.35506 41.806402, 2.355101 41.806441, 2.35516 41.806458, 2.355197 41.806498, 2.355269 41.806511, 2.355335 41.806537, 2.355388 41.806564, 2.355449 41.806574, 2.355513 41.806569, 2.355568 41.806542, 2.355633 41.806537, 2.355699 41.806533, 2.355767 41.806539, 2.355818 41.806574, 2.355877 41.8066, 2.355931 41.806635, 2.356001 41.806661, 2.356063 41.806671, 2.35614 41.806692, 2.356201 41.806704)"
265,1.36,13.22,Less than 15 min/km,#ae017e,0.37,0.03,2.9,9.67,From 7.5% to 15%,#bdc9e1,"LINESTRING (2.356201 41.806704, 2.356257 41.806725, 2.356307 41.806756, 2.356368 41.806766, 2.356426 41.806803, 2.356485 41.806819)"
1083,0.68,44.72,From 30 to 45 min/km,#fbb4b9,0.77,0.02,2.0,10.0,From 7.5% to 15%,#bdc9e1,"LINESTRING (2.356485 41.806819, 2.356548 41.806842, 2.356516 41.806796, 2.356537 41.80675)"
266,0.73,10.81,Less than 15 min/km,#ae017e,22.76,0.01,0.0,0.0,Less than 7.5%,#f1eef6,"LINESTRING (2.356537 41.80675, 2.356573 41.806705, 2.356528 41.80674, 2.356562 41.80678)"
1083,0.65,41.24,From 30 to 45 min/km,#fbb4b9,2.22,0.05,0.3,0.6,Less than 7.5%,#f1eef6,"LINESTRING (2.356562 41.80678, 2.356605 41.806833, 2.356589 41.806883, 2.356585 41.806932, 2.356541 41.806966, 2.356587 41.80684, 2.35655 41.806799, 2.356548 41.806735)"
266,0.6,343.81,More than 45 min/km,#feebe2,8.05,0.03,0.0,0.0,Less than 7.5%,#f1eef6,"LINESTRING (2.356548 41.806735, 2.356556 41.806688, 2.356598 41.80672, 2.356653 41.806745, 2.356725 41.806761, 2.356786 41.806769)"
268,1.44,11.77,Less than 15 min/km,#ae017e,3.92,0.33,8.3,2.52,Less than 7.5%,#f1eef6,"LINESTRING (2.356786 41.806769, 2.356866 41.806767, 2.356935 41.806783, 2.357006 41.806786, 2.357069 41.806782, 2.357142 41.806792, 2.357204 41.806799, 2.357286 41.806804, 2.357341 41.806784, 2.357419 41.806777, 2.357493 41.80678, 2.357565 41.806769, 2.357624 41.806751, 2.357689 41.806739, 2.357758 41.806751, 2.357818 41.806744, 2.35787 41.806719, 2.357943 41.80669, 2.358003 41.806669, 2.358051 41.806638, 2.358104 41.806605, 2.358154 41.806567, 2.358212 41.806554, 2.358274 41.806529, 2.358333 41.806491, 2.358369 41.806444, 2.358423 41.806409, 2.358484 41.806385, 2.35854 41.806363, 2.358575 41.806314, 2.358634 41.806287, 2.358709 41.806268, 2.358789 41.806256, 2.358853 41.806247, 2.35892 41.806234, 2.35899 41.806222, 2.359053 41.806209, 2.359113 41.806198, 2.359167 41.806175, 2.359243 41.806169, 2.359304 41.806142, 2.359349 41.806111, 2.359419 41.806102, 2.359492 41.806107, 2.359563 41.806119, 2.359639 41.806127, 2.359715 41.806128, 2.359785 41.806143, 2.359861 41.806151, 2.359928 41.806161, 2.359996 41.806171, 2.360069 41.806186, 2.360134 41.806207, 2.36021 41.806212, 2.360285 41.806226, 2.360358 41.806239, 2.36043 41.806245, 2.360501 41.806256)"
