edge_id,avg_speed,avg_pace,pace_group,pace_color,time,dist,elev_gain,uphill_perc,uphill_perc_group,uphill_perc_color,geometry
633,0.82,11.61,Less than 15 min/km,#ae017e,0.12,0.01,0.2,2.0,Less than 7.5%,#f1eef6,"LINESTRING (2.388428 41.845139, 2.388443 41.845136, 2.388472 41.84512, 2.388497 41.845101, 2.388513 41.845085)"
1209,1.32,14.79,Less than 15 min/km,#ae017e,0.56,0.04,2.2,5.5,Less than 7.5%,#f1eef6,"LINESTRING (2.388513 41.845085, 2.388523 41.845066, 2.388515 41.84504, 2.388508 41.845011, 2.388508 41.844989, 2.388497 41.844966, 2.388478 41.84495, 2.388477 41.844928, 2.38846 41.844909, 2.388452 41.84489, 2.38844 41.844864, 2.388427 41.844848, 2.388413 41.844829, 2.38841 41.844806, 2.388395 41.844784, 2.388388 41.844765)"
1563,1.48,11.97,Less than 15 min/km,#ae017e,0.12,0.01,1.2,12.0,From 7.5% to 15%,#bdc9e1,"LINESTRING (2.388388 41.844765, 2.388383 41.844746, 2.388378 41.84472, 2.388375 41.844698, 2.388363 41.844682)"
1191,1.05,16.9,From 15 to 30 min/km,#f768a1,0.33,0.02,2.4,12.0,From 7.5% to 15%,#bdc9e1,"LINESTRING (2.388363 41.844682, 2.388352 41.844659, 2.388337 41.844643, 2.38832 41.844624, 2.388305 41.844605, 2.388278 41.844589, 2.388253 41.844582, 2.388222 41.844573, 2.388193 41.844554)"
1189,1.07,17.23,From 15 to 30 min/km,#f768a1,0.19,0.01,2.3,23.0,More than 22.5%,#0570b0,"LINESTRING (2.388193 41.844554, 2.3882 41.844525, 2.3882 41.844506, 2.388192 41.844486, 2.388183 41.844464)"
1180,0.86,20.76,From 15 to 30 min/km,#f768a1,1.5,0.07,7.7,11.0,From 7.5% to 15%,#bdc9e1,"LINESTRING (2.388183 41.844464, 2.388173 41.844442, 2.388162 41.844426, 2.38816 41.844406, 2.388147 41.84439, 2.388147 41.844371, 2.388123 41.844362, 2.388103 41.844349, 2.388088 41.84433, 2.388078 41.844307, 2.38806 41.844294, 2.388043 41.844275, 2.388015 41.844266, 2.387987 41.844253, 2.387958 41.844243, 2.387933 41.844246, 2.387912 41.844237, 2.387883 41.844243, 2.38785 41.844256, 2.387823 41.844272, 2.387793 41.844285, 2.387767 41.844288, 2.387742 41.844285, 2.38771 41.844282, 2.38768 41.844275, 2.387653 41.844275, 2.387628 41.844275, 2.387597 41.844272, 2.387572 41.844269, 2.38754 41.844272, 2.387507 41.844266)"
1179,0.93,19.01,From 15 to 30 min/km,#f768a1,1.03,0.05,9.6,19.2,From 15% to 22.5%,#74a9cf,"LINESTRING (2.387507 41.844266, 2.387488 41.844253, 2.387465 41.844246, 2.38744 41.844234, 2.387417 41.844224, 2.387397 41.844211, 2.387375 41.844195, 2.387347 41.844192, 2.387325 41.844202, 2.387303 41.844211, 2.387273 41.844208, 2.387243 41.844208, 2.38721 41.844202, 2.387183 41.844195, 2.387147 41.844195, 2.387107 41.844202, 2.387078 41.844202, 2.387055 41.844189, 2.387035 41.844202, 2.387007 41.844189, 2.386977 41.844173, 2.386947 41.844166, 2.386928 41.84415)"
1171,1.06,18.36,From 15 to 30 min/km,#f768a1,1.77,0.1,14.2,14.2,From 7.5% to 15%,#bdc9e1,"LINESTRING (2.386928 41.84415, 2.386907 41.844131, 2.386887 41.844109, 2.386863 41.844093, 2.38684 41.844077, 2.386817 41.844067, 2.386792 41.844054, 2.386767 41.844038, 2.386735 41.844029, 2.38671 41.844026, 2.386695 41.84401, 2.386673 41.843994, 2.386653 41.843974, 2.386638 41.843955, 2.386627 41.843939, 2.386608 41.843926, 2.386592 41.84391, 2.38657 41.843894, 2.386557 41.843872, 2.386538 41.843859, 2.386528 41.84384, 2.386503 41.843824, 2.386478 41.843814, 2.386453 41.843818, 2.386428 41.843805, 2.386402 41.843795, 2.386387 41.843814, 2.386352 41.843824, 2.386317 41.84383, 2.38628 41.843834, 2.386235 41.843818, 2.386207 41.843811, 2.386183 41.843805, 2.38615 41.843795, 2.386125 41.843789, 2.386105 41.843776, 2.386075 41.843757, 2.386048 41.843738, 2.386023 41.843734)"
1172,1.58,12.39,Less than 15 min/km,#ae017e,0.2,0.02,0.0,0.0,Less than 7.5%,#f1eef6,"LINESTRING (2.386023 41.843734, 2.386 41.843728, 2.385982 41.843712, 2.385962 41.843693, 2.38595 41.843677, 2.385932 41.843658, 2.385912 41.843642, 2.385895 41.843626)"
1169,1.28,14.82,Less than 15 min/km,#ae017e,0.2,0.01,0.2,2.0,Less than 7.5%,#f1eef6,"LINESTRING (2.385895 41.843626, 2.38587 41.843606, 2.385842 41.84359, 2.385828 41.843574, 2.385812 41.843549, 2.385785 41.843517)"
