edge_id,avg_speed,avg_pace,pace_group,pace_color,time,dist,elev_gain,uphill_perc,uphill_perc_group,uphill_perc_color,geometry
267,1.38,12.94,Less than 15 min/km,#AC1754,2.05,0.16,21.6,13.5,From 7.5% to 15%,#36C2CE,"LINESTRING (2.360534 41.806288, 2.360587 41.80631, 2.360655 41.806325, 2.36073 41.806338, 2.36079 41.806343, 2.360862 41.806356, 2.36093 41.806363, 2.360992 41.80638, 2.361064 41.806388, 2.361141 41.806393, 2.361213 41.806405, 2.361286 41.806422, 2.361343 41.806442, 2.361408 41.80644, 2.361475 41.806425, 2.361547 41.806433, 2.361627 41.806443, 2.361694 41.806443, 2.361761 41.806443, 2.361829 41.806465, 2.361891 41.806488, 2.361953 41.806505, 2.362018 41.806518, 2.362085 41.806531, 2.362155 41.806558, 2.362185 41.806601, 2.362242 41.806633, 2.362297 41.806658)"
270,1.03,30.02,From 30 to 45 min/km,#F37199,33.5,1.12,168.7,15.06,From 15% to 22.5%,#478CCF,"LINESTRING (2.362297 41.806658, 2.362354 41.806685, 2.362419 41.806673, 2.362487 41.80666, 2.362572 41.806688, 2.362629 41.806705, 2.362691 41.806683, 2.362761 41.806678, 2.362819 41.806658, 2.362869 41.806695, 2.362939 41.80669, 2.363006 41.806688, 2.363076 41.80668, 2.363141 41.806688, 2.363203 41.806686, 2.363266 41.806681, 2.363319 41.806654, 2.363376 41.806634, 2.363438 41.806607, 2.363501 41.806634, 2.363548 41.806666, 2.363606 41.806686, 2.363666 41.806681, 2.363716 41.806651, 2.363766 41.806618, 2.363808 41.806585, 2.363853 41.806552, 2.363898 41.806515, 2.363936 41.80647, 2.363969 41.806428, 2.364027 41.806415, 2.364079 41.806392, 2.364132 41.806369, 2.364189 41.806349, 2.364251 41.806329, 2.364289 41.806289, 2.364334 41.806256, 2.364366 41.806216, 2.364408 41.806178, 2.364446 41.806143, 2.364506 41.806125, 2.364551 41.806093, 2.364606 41.806068, 2.364664 41.80604, 2.364704 41.806003, 2.364744 41.805963, 2.364787 41.80593, 2.36484 41.8059, 2.364872 41.805858, 2.364912 41.805815, 2.364942 41.805773, 2.364965 41.805725, 2.364987 41.80568, 2.364992 41.80563, 2.365027 41.80559, 2.36506 41.805552, 2.365093 41.805509, 2.365136 41.805471, 2.365181 41.805436, 2.365231 41.805398, 2.365271 41.805363, 2.365304 41.805321, 2.365362 41.805294, 2.365415 41.805269, 2.36546 41.805236, 2.365523 41.805213, 2.365561 41.805178, 2.365623 41.805156, 2.365688 41.805128, 2.36573 41.805095, 2.365773 41.805053, 2.365806 41.805013, 2.365843 41.804965, 2.365885 41.804927, 2.36593 41.804892, 2.365972 41.804859, 2.366005 41.804817, 2.36605 41.804777, 2.3661 41.80475, 2.366148 41.804722, 2.36621 41.80472, 2.366272 41.80471, 2.366342 41.804717, 2.366407 41.804735, 2.366445 41.80477, 2.366382 41.804782, 2.366442 41.804757, 2.366467 41.804714, 2.366522 41.804687, 2.366575 41.804657, 2.36663 41.804634, 2.366585 41.804666, 2.36663 41.804636, 2.366683 41.804614, 2.366741 41.804592, 2.366799 41.804577, 2.366862 41.804562, 2.366929 41.804535, 2.366994 41.804517, 2.367049 41.80449, 2.367109 41.804465, 2.367181 41.804445, 2.367243 41.80442, 2.367305 41.80441, 2.367368 41.8044, 2.367425 41.804382, 2.367487 41.804377, 2.367552 41.804375, 2.367619 41.804373, 2.367689 41.80437, 2.367762 41.804377, 2.36783 41.804384, 2.36789 41.804391, 2.367958 41.804399, 2.368016 41.804414, 2.368088 41.804411, 2.368136 41.804441, 2.368183 41.804473, 2.368246 41.804491, 2.368313 41.804514, 2.36837 41.804539, 2.36844 41.804557, 2.3685 41.804574, 2.368572 41.804601, 2.36862 41.804633, 2.368682 41.804646, 2.36874 41.804663, 2.368813 41.804666, 2.368876 41.804661, 2.368936 41.804656, 2.368996 41.804641, 2.369061 41.804633, 2.369133 41.804651, 2.369205 41.804648, 2.369275 41.804638, 2.369335 41.804631, 2.369398 41.804638, 2.369473 41.804643, 2.369538 41.804626, 2.369596 41.804606, 2.369659 41.804576, 2.369729 41.804568, 2.369804 41.804563, 2.369881 41.80457, 2.369949 41.804565, 2.370021 41.804545, 2.370099 41.804537, 2.370161 41.80453, 2.370236 41.80453, 2.370314 41.804537, 2.370387 41.80454, 2.370455 41.804532, 2.37052 41.80453, 2.370587 41.804518, 2.370652 41.804511, 2.370715 41.804506, 2.370792 41.804509, 2.370857 41.804507, 2.37093 41.804504, 2.370983 41.804531, 2.371063 41.804529, 2.371123 41.804536, 2.371191 41.804541, 2.371251 41.804549, 2.371319 41.804577, 2.371387 41.804574, 2.371462 41.804574, 2.371534 41.804592, 2.371606 41.804595, 2.371678 41.804597, 2.371755 41.804599, 2.371815 41.804611, 2.37187 41.804633, 2.371943 41.804646, 2.372011 41.804666, 2.372089 41.804676, 2.372152 41.804676, 2.372219 41.804681, 2.372291 41.804676, 2.372366 41.804684, 2.372438 41.804699, 2.372498 41.804712, 2.372558 41.804735, 2.37263 41.80476, 2.372688 41.804782, 2.372745 41.804805, 2.372812 41.804833, 2.372877 41.804861, 2.372934 41.804884, 2.372994 41.804901, 2.373061 41.804923, 2.373123 41.804931, 2.373191 41.804961, 2.373256 41.804974, 2.373311 41.804994, 2.373369 41.805014, 2.373427 41.805032, 2.373494 41.80503, 2.373569 41.80504, 2.373637 41.805042, 2.373699 41.805039)"
1253,1.13,15.2,From 15 to 30 min/km,#E53888,3.36,0.22,27.0,12.27,From 7.5% to 15%,#36C2CE,"LINESTRING (2.373699 41.805039, 2.373769 41.805052, 2.373817 41.805089, 2.373882 41.805082, 2.373949 41.805104, 2.374006 41.805122, 2.374071 41.805135, 2.374126 41.805158, 2.374188 41.805178, 2.374251 41.805193, 2.374319 41.805206, 2.374379 41.805196, 2.374439 41.805218, 2.374502 41.805225, 2.374567 41.805238, 2.374634 41.80525, 2.374689 41.805273, 2.374751 41.805295, 2.374819 41.805302, 2.374892 41.805312, 2.374972 41.805324, 2.375047 41.805341, 2.375117 41.805356, 2.375182 41.805356, 2.375247 41.805373, 2.37531 41.8054, 2.375373 41.805425, 2.375435 41.805437, 2.375502 41.80545, 2.375564 41.805463, 2.375626 41.80548, 2.375698 41.805492, 2.375758 41.805502, 2.375828 41.805519, 2.375895 41.805522, 2.375978 41.805525, 2.376045 41.805537, 2.376115 41.805542, 2.376183 41.805539, 2.37625 41.805529)"
1252,1.36,13.12,Less than 15 min/km,#AC1754,1.09,0.08,5.1,6.38,Less than 7.5%,#77E4C8,"LINESTRING (2.37625 41.805529, 2.37631 41.805536, 2.376375 41.805534, 2.376438 41.805532, 2.3765 41.80554, 2.376578 41.80555, 2.376645 41.805568, 2.376695 41.805595, 2.37675 41.805617, 2.376812 41.80565, 2.376872 41.805677, 2.376924 41.8057, 2.376999 41.805712, 2.377052 41.805735, 2.37711 41.805753, 2.377175 41.805766)"
1542,1.09,106.68,More than 45 min/km,#F7A8C4,12.31,0.1,17.3,17.3,From 15% to 22.5%,#478CCF,"LINESTRING (2.377175 41.805766, 2.377243 41.805768, 2.37731 41.80579, 2.377373 41.805802, 2.377426 41.805824, 2.377463 41.805871, 2.377503 41.805914, 2.377523 41.805957, 2.377571 41.805989, 2.377636 41.806019, 2.377681 41.806052, 2.377693 41.806104, 2.37774 41.806134, 2.377777 41.806171, 2.377795 41.806214, 2.377828 41.806252, 2.377846 41.806295, 2.377883 41.806335, 2.37792 41.806377)"
1766,0.89,20.01,From 15 to 30 min/km,#E53888,10.4,0.52,123.2,23.69,More than 22.5%,#4535C1,"LINESTRING (2.37792 41.806377, 2.377943 41.806424, 2.37796 41.806471, 2.378 41.806508, 2.378025 41.806558, 2.378062 41.806605, 2.3781 41.806652, 2.37814 41.80669, 2.37819 41.806718, 2.378235 41.806755, 2.378298 41.806777, 2.378348 41.806804, 2.378398 41.806841, 2.378446 41.806883, 2.378513 41.806898, 2.378571 41.806923, 2.378623 41.80695, 2.37867 41.806992, 2.378733 41.807015, 2.378786 41.807043, 2.378851 41.80705, 2.378909 41.807072, 2.378952 41.807104, 2.379 41.807139, 2.379065 41.807147, 2.37913 41.807157, 2.379192 41.807172, 2.379229 41.807209, 2.379267 41.807256, 2.379345 41.807271, 2.379402 41.807288, 2.379449 41.807318, 2.379516 41.807341, 2.379581 41.807343, 2.379649 41.807321, 2.379709 41.807313, 2.379771 41.807315, 2.379839 41.807308, 2.379897 41.807325, 2.379962 41.807347, 2.380024 41.807337, 2.380082 41.807352, 2.380134 41.807379, 2.380206 41.807392, 2.380194 41.807439, 2.380164 41.807482, 2.380116 41.807517, 2.380164 41.807554, 2.380211 41.807586, 2.380273 41.807603, 2.380341 41.807601, 2.380411 41.807621, 2.380464 41.807648, 2.380522 41.807663, 2.380585 41.807673, 2.380642 41.8077, 2.380684 41.807738, 2.380731 41.807773, 2.380798 41.807785, 2.380828 41.80783, 2.380875 41.807867, 2.380942 41.80786, 2.381007 41.807873, 2.381074 41.807881, 2.381134 41.807894, 2.381196 41.807916, 2.381243 41.807951, 2.381316 41.807954, 2.381374 41.807972, 2.381429 41.808, 2.381474 41.808037, 2.381539 41.808055, 2.381587 41.808087, 2.381642 41.808117, 2.381699 41.808139, 2.381762 41.808167, 2.381812 41.808195, 2.381867 41.808222, 2.381909 41.808259, 2.381957 41.808289, 2.382002 41.808322, 2.382057 41.808345, 2.382102 41.80838, 2.382162 41.8084, 2.382214 41.808428, 2.382266 41.808455, 2.382309 41.808487, 2.382349 41.808525, 2.382377 41.808567, 2.382419 41.808604, 2.382466 41.808641, 2.382508 41.808679, 2.382551 41.808711, 2.382604 41.808738, 2.382662 41.808763)"
1312,0.42,195.55,More than 45 min/km,#F7A8C4,5.55,0.03,3.8,12.67,From 7.5% to 15%,#36C2CE,"LINESTRING (2.382662 41.808763, 2.382685 41.808805, 2.382712 41.808855, 2.382724 41.808902, 2.382694 41.808862, 2.382627 41.808857)"
1544,0.1,370.92,More than 45 min/km,#F7A8C4,19.05,0.04,5.6,14.0,From 7.5% to 15%,#36C2CE,"LINESTRING (2.382627 41.808857, 2.382607 41.808812, 2.382624 41.808855, 2.382692 41.808842, 2.38263 41.808852, 2.382625 41.808807, 2.382667 41.80884, 2.382644 41.808797, 2.382587 41.808819, 2.382527 41.808814)"
1545,0.57,156.56,More than 45 min/km,#F7A8C4,2.3,0.02,0.6,3.0,Less than 7.5%,#77E4C8,"LINESTRING (2.382527 41.808814, 2.38247 41.808846, 2.382412 41.808861, 2.382749 41.808874)"
1312,5.08,8.45,Less than 15 min/km,#AC1754,3.29,0.27,2.9,1.07,Less than 7.5%,#77E4C8,"LINESTRING (2.382749 41.808874, 2.382856 41.808961, 2.382949 41.809078, 2.383024 41.809128, 2.382716 41.80891, 2.382566 41.808868, 2.382491 41.808848, 2.383188 41.809196, 2.383241 41.809253, 2.383329 41.80932, 2.383381 41.809355, 2.383328 41.80932, 2.38324 41.80928, 2.383013 41.809173, 2.382845 41.809086, 2.38278 41.809058, 2.382577 41.808985)"
1545,1.65,41.37,From 30 to 45 min/km,#F37199,13.25,0.3,13.5,4.5,Less than 7.5%,#77E4C8,"LINESTRING (2.382577 41.808985, 2.382487 41.80891, 2.382387 41.808855, 2.382454 41.808902, 2.382542 41.808955, 2.382604 41.809002, 2.382657 41.809032, 2.382729 41.809034, 2.382787 41.809049, 2.382734 41.808979, 2.382522 41.808917, 2.382462 41.808912, 2.382432 41.80886, 2.382397 41.8089, 2.382484 41.808923, 2.382366 41.808966, 2.382443 41.808918, 2.382373 41.808865, 2.38234 41.80881, 2.38234 41.808752, 2.38238 41.808819, 2.382428 41.808859, 2.382428 41.808914, 2.38244 41.808962, 2.38256 41.808902, 2.382487 41.808895, 2.382529 41.808932, 2.382419 41.808934, 2.382471 41.808969, 2.382518 41.809039, 2.382578 41.809062, 2.382631 41.809089, 2.382676 41.809129, 2.382644 41.809081, 2.382551 41.808984, 2.382509 41.808942, 2.382467 41.808982, 2.382425 41.80903, 2.382362 41.80905)"
1548,3.33,6.3,Less than 15 min/km,#AC1754,0.28,0.05,1.0,2.0,Less than 7.5%,#77E4C8,"LINESTRING (2.382362 41.80905, 2.382295 41.80907, 2.382235 41.809078, 2.382325 41.809141, 2.382392 41.809203, 2.382455 41.809225, 2.382528 41.809237)"
1545,1.98,8.44,Less than 15 min/km,#AC1754,0.15,0.01,0.0,0.0,Less than 7.5%,#77E4C8,"LINESTRING (2.382528 41.809237, 2.382506 41.809185, 2.382529 41.809138, 2.382612 41.808968)"
1544,2.9,8.0,Less than 15 min/km,#AC1754,0.38,0.05,0.0,0.0,Less than 7.5%,#77E4C8,"LINESTRING (2.382612 41.808968, 2.38273 41.809085, 2.382702 41.809127, 2.38266 41.80917)"
1545,3.56,8.0,Less than 15 min/km,#AC1754,0.24,0.02,0.0,0.0,Less than 7.5%,#77E4C8,"LINESTRING (2.38266 41.80917, 2.382557 41.8091, 2.382484 41.809075, 2.382417 41.809082)"
1548,3.07,5.47,Less than 15 min/km,#AC1754,0.11,0.02,0.0,0.0,Less than 7.5%,#77E4C8,"LINESTRING (2.382417 41.809082, 2.382315 41.809132, 2.382368 41.809095, 2.382858 41.808725)"
1312,1.52,15.02,From 15 to 30 min/km,#E53888,0.87,0.08,0.0,0.0,Less than 7.5%,#77E4C8,"LINESTRING (2.382858 41.808725, 2.382873 41.808667, 2.38291 41.808615, 2.382947 41.80857, 2.382989 41.808522, 2.382431 41.808814)"
1545,0.26,424.28,More than 45 min/km,#F7A8C4,10.03,0.07,17.9,25.57,More than 22.5%,#4535C1,"LINESTRING (2.382431 41.808814, 2.382488 41.808849, 2.382413 41.808842, 2.38241 41.808797)"
1546,1.11,45.16,More than 45 min/km,#F7A8C4,5.7,0.17,1.7,1.0,Less than 7.5%,#77E4C8,"LINESTRING (2.38241 41.808797, 2.3823 41.8088, 2.382182 41.808765, 2.38212 41.808743, 2.382027 41.808713, 2.381965 41.808705, 2.381797 41.808725, 2.381692 41.808723, 2.381595 41.80874, 2.381465 41.808712, 2.381372 41.80872, 2.38121 41.80872, 2.381128 41.80873, 2.381068 41.80874, 2.380998 41.808757, 2.380931 41.808792, 2.380866 41.80881, 2.380821 41.80884, 2.380786 41.808883, 2.380643 41.808938, 2.380601 41.808983)"
1860,1.42,12.38,Less than 15 min/km,#AC1754,1.09,0.08,0.0,0.0,Less than 7.5%,#77E4C8,"LINESTRING (2.380601 41.808983, 2.380559 41.809021, 2.380492 41.809058, 2.380442 41.809086, 2.380394 41.809114, 2.380347 41.809167, 2.380275 41.809134, 2.380212 41.809101, 2.380144 41.809084, 2.380062 41.809087, 2.379987 41.8091, 2.379925 41.809112, 2.37986 41.80911, 2.379773 41.8091, 2.379696 41.809088)"
1547,1.45,11.68,Less than 15 min/km,#AC1754,0.55,0.05,0.0,0.0,Less than 7.5%,#77E4C8,"LINESTRING (2.379696 41.809088, 2.379633 41.809071, 2.37957 41.809066, 2.379488 41.809071, 2.379431 41.809089, 2.379371 41.809099, 2.379308 41.809099, 2.379218 41.809106, 2.379155 41.809103)"
407,1.48,12.55,Less than 15 min/km,#AC1754,0.33,0.03,0.1,0.33,Less than 7.5%,#77E4C8,"LINESTRING (2.379155 41.809103, 2.37909 41.809135, 2.379005 41.809167, 2.378942 41.8092, 2.378879 41.809225)"
408,1.5,11.6,Less than 15 min/km,#AC1754,1.85,0.15,0.0,0.0,Less than 7.5%,#77E4C8,"LINESTRING (2.378879 41.809225, 2.378822 41.809258, 2.37876 41.809283, 2.378698 41.809296, 2.378625 41.809313, 2.378567 41.809325, 2.37851 41.809348, 2.378462 41.809388, 2.37842 41.809423, 2.378372 41.809455, 2.378319 41.80949, 2.378269 41.80953, 2.378187 41.80956, 2.378065 41.809608, 2.377998 41.809631, 2.377945 41.809668, 2.377873 41.809695, 2.377818 41.809718, 2.377765 41.809758, 2.37771 41.809778, 2.377647 41.8098, 2.377532 41.809848, 2.377477 41.809875, 2.377437 41.809917, 2.377399 41.809959, 2.377339 41.809996)"
1862,1.33,13.01,Less than 15 min/km,#AC1754,1.22,0.09,0.0,0.0,Less than 7.5%,#77E4C8,"LINESTRING (2.377339 41.809996, 2.377282 41.810026, 2.377234 41.810059, 2.377192 41.810129, 2.377177 41.810174, 2.377162 41.810222, 2.377129 41.810264, 2.377094 41.810311, 2.377077 41.810354, 2.377047 41.810394, 2.377029 41.810444, 2.377061 41.810499, 2.377019 41.810564, 2.376986 41.810622, 2.376988 41.81068, 2.377038 41.810767)"
