edge_id,avg_speed,avg_pace,pace_group,pace_color,time,dist,elev_gain,uphill_perc,uphill_perc_group,uphill_perc_color,geometry
257,2.28,37.23,From 30 to 45 min/km,#F37199,1.08,0.03,0.0,0.0,Less than 7.5%,#77E4C8,"LINESTRING (2.347958 41.801229, 2.347937 41.801155, 2.34789 41.801124, 2.347859 41.801168, 2.347932 41.801167, 2.347996 41.80116)"
258,0.91,18.99,From 15 to 30 min/km,#E53888,1.45,0.07,5.0,7.14,Less than 7.5%,#77E4C8,"LINESTRING (2.347996 41.80116, 2.34806 41.801182, 2.348116 41.801212, 2.348148 41.801254, 2.348202 41.801278, 2.348263 41.801288, 2.34833 41.801292, 2.348374 41.801325, 2.348436 41.80134, 2.348502 41.801358, 2.348566 41.801359, 2.348602 41.801398, 2.348608 41.801448, 2.348585 41.801496, 2.348532 41.801519)"
261,0.87,20.33,From 15 to 30 min/km,#E53888,9.39,0.46,114.0,24.78,More than 22.5%,#4535C1,"LINESTRING (2.348532 41.801519, 2.348486 41.801564, 2.348526 41.801605, 2.348572 41.801639, 2.348622 41.801665, 2.34868 41.801684, 2.348747 41.801685, 2.348808 41.801689, 2.348865 41.80171, 2.348921 41.801729, 2.348935 41.801778, 2.348926 41.801826, 2.348925 41.801872, 2.34894 41.801919, 2.348953 41.801971, 2.34899 41.802012, 2.348993 41.802059, 2.349012 41.80211, 2.349049 41.80217, 2.349095 41.80221, 2.349154 41.802226, 2.349188 41.802288, 2.349226 41.802333, 2.349291 41.802352, 2.349352 41.80234, 2.349418 41.802364, 2.349497 41.802405, 2.349535 41.802442, 2.349566 41.802485, 2.349618 41.802517, 2.349653 41.802554, 2.349713 41.802576, 2.349768 41.802606, 2.349819 41.802632, 2.349861 41.802667, 2.349908 41.802706, 2.349948 41.802745, 2.349935 41.802799, 2.349943 41.802844, 2.349976 41.80289, 2.35003 41.802914, 2.35008 41.802945, 2.350118 41.802984, 2.35018 41.803008, 2.35025 41.803041, 2.350299 41.803068, 2.350348 41.803096, 2.350394 41.803136, 2.350395 41.803189, 2.350438 41.803223, 2.350483 41.803255, 2.350514 41.803302, 2.350545 41.803341, 2.350583 41.803376, 2.350613 41.803417, 2.35066 41.803456, 2.350709 41.803497, 2.350742 41.803537, 2.350771 41.803584, 2.350812 41.803629, 2.350847 41.803668, 2.350889 41.803707, 2.350944 41.803731, 2.350995 41.803762, 2.351017 41.803804, 2.351011 41.803853, 2.351025 41.803902, 2.35107 41.803935, 2.351131 41.803968, 2.351184 41.803994, 2.351231 41.804024, 2.351288 41.804072, 2.351322 41.804114, 2.351362 41.804151, 2.351423 41.804177, 2.351481 41.804207, 2.351502 41.804253, 2.351537 41.804315, 2.351589 41.80436, 2.351633 41.804394, 2.351677 41.804433, 2.351717 41.804478, 2.351761 41.804519)"
262,0.95,18.39,From 15 to 30 min/km,#E53888,8.9,0.49,84.0,17.14,From 15% to 22.5%,#478CCF,"LINESTRING (2.351761 41.804519, 2.351791 41.804559, 2.351809 41.804602, 2.351841 41.804643, 2.351859 41.804687, 2.351905 41.804718, 2.351953 41.804747, 2.351996 41.804787, 2.352046 41.804814, 2.352084 41.804853, 2.352116 41.804892, 2.352159 41.804928, 2.352187 41.804973, 2.352235 41.805013, 2.352269 41.805052, 2.352328 41.805073, 2.35236 41.805114, 2.352412 41.805137, 2.352449 41.80518, 2.352481 41.80522, 2.352536 41.805247, 2.352594 41.805277, 2.35264 41.805312, 2.352696 41.805342, 2.352752 41.805375, 2.352801 41.805406, 2.352856 41.805436, 2.352924 41.805446, 2.352973 41.805473, 2.353033 41.805498, 2.353083 41.805524, 2.353133 41.80555, 2.353189 41.805578, 2.353246 41.805613, 2.35327 41.805654, 2.353328 41.805672, 2.353368 41.805708, 2.35342 41.805735, 2.353476 41.805765, 2.353535 41.805793, 2.3536 41.805818, 2.353667 41.805826, 2.353739 41.805834, 2.35381 41.805839, 2.353879 41.805842, 2.353932 41.805873, 2.35398 41.805901, 2.354026 41.805938, 2.354081 41.805966, 2.354144 41.805993, 2.354206 41.806007, 2.354273 41.806015, 2.354337 41.806031, 2.354385 41.806062, 2.354447 41.806079, 2.354509 41.806109, 2.354557 41.80614, 2.354617 41.806172, 2.354677 41.806198, 2.354744 41.806215, 2.354784 41.806252, 2.354829 41.806287, 2.354887 41.806305, 2.35495 41.806331, 2.354981 41.806371, 2.355029 41.806401, 2.355068 41.806436, 2.355123 41.806464, 2.355187 41.806485, 2.355247 41.806495, 2.355309 41.806516, 2.355376 41.806531, 2.355437 41.806528, 2.355504 41.806505, 2.355572 41.806491, 2.355647 41.806481, 2.355711 41.806493, 2.355764 41.806523, 2.35582 41.806549, 2.355866 41.806586, 2.355918 41.80661, 2.355979 41.806641, 2.356031 41.806664, 2.356091 41.806678, 2.356164 41.806687, 2.356237 41.806694, 2.356298 41.806708, 2.356355 41.806732, 2.356431 41.806719)"
266,0.58,55.1,More than 45 min/km,#F7A8C4,33.75,0.03,7.0,23.33,More than 22.5%,#4535C1,"LINESTRING (2.356431 41.806719, 2.356489 41.806703, 2.356546 41.806673, 2.356591 41.806706, 2.356631 41.806746, 2.356697 41.806761, 2.35677 41.806768)"
268,1.29,13.24,Less than 15 min/km,#AC1754,4.43,0.34,20.0,5.88,Less than 7.5%,#77E4C8,"LINESTRING (2.35677 41.806768, 2.356834 41.806775, 2.356898 41.806772, 2.356966 41.806773, 2.357035 41.806778, 2.357104 41.806785, 2.357165 41.806787, 2.357228 41.806793, 2.357292 41.806802, 2.357357 41.806796, 2.357423 41.80679, 2.357496 41.806786, 2.35756 41.806784, 2.357629 41.80678, 2.357689 41.806772, 2.357762 41.806765, 2.357822 41.806755, 2.357886 41.80674, 2.357953 41.806715, 2.358013 41.806694, 2.358061 41.806665, 2.358108 41.806632, 2.358157 41.806597, 2.358207 41.80656, 2.358264 41.80654, 2.358325 41.806514, 2.358378 41.806473, 2.358412 41.806428, 2.358469 41.806391, 2.358533 41.806381, 2.358589 41.80634, 2.358633 41.806308, 2.358698 41.806283, 2.358773 41.806273, 2.358846 41.806263, 2.35891 41.806242, 2.358976 41.80623, 2.35904 41.806229, 2.359109 41.806222, 2.359165 41.806202, 2.359235 41.806184, 2.359297 41.806155, 2.359365 41.806144, 2.359435 41.806141, 2.359507 41.806145, 2.35957 41.806149, 2.359642 41.806151, 2.35972 41.806162, 2.359795 41.806171, 2.359862 41.806175, 2.359931 41.806177, 2.36 41.806187, 2.36006 41.806199, 2.360129 41.806208, 2.360199 41.806223, 2.360261 41.806243, 2.360323 41.806252, 2.360393 41.80625, 2.360452 41.806266, 2.360522 41.806278)"
267,1.22,14.09,Less than 15 min/km,#AC1754,2.25,0.16,15.0,9.38,From 7.5% to 15%,#36C2CE,"LINESTRING (2.360522 41.806278, 2.360586 41.806293, 2.360649 41.806306, 2.360723 41.806321, 2.360789 41.806335, 2.360854 41.806348, 2.360918 41.806355, 2.360978 41.806362, 2.361039 41.806378, 2.361118 41.806386, 2.361195 41.806384, 2.361252 41.806404, 2.361319 41.806417, 2.361389 41.80643, 2.361462 41.806433, 2.361521 41.806404, 2.361581 41.806407, 2.361643 41.806426, 2.361711 41.806436, 2.361781 41.806443, 2.361849 41.806458, 2.361913 41.806463, 2.361983 41.806477, 2.362048 41.806502, 2.36211 41.806529, 2.362156 41.80657, 2.36219 41.806609, 2.36225 41.806633, 2.362308 41.806647)"
270,1.02,27.37,From 15 to 30 min/km,#E53888,34.63,1.09,180.0,16.51,From 15% to 22.5%,#478CCF,"LINESTRING (2.362308 41.806647, 2.362367 41.806669, 2.362428 41.806672, 2.362486 41.80666, 2.362549 41.80667, 2.362613 41.806688, 2.362682 41.806682, 2.362747 41.806679, 2.362817 41.806672, 2.362878 41.806682, 2.362946 41.806688, 2.363002 41.806668, 2.363066 41.806667, 2.363133 41.806663, 2.363196 41.806681, 2.363259 41.806662, 2.363318 41.806649, 2.363378 41.806628, 2.363441 41.80665, 2.363506 41.806656, 2.363578 41.806655, 2.363633 41.806634, 2.363697 41.806615, 2.363736 41.806575, 2.363785 41.806545, 2.363832 41.806513, 2.363883 41.806484, 2.363926 41.80645, 2.363952 41.806403, 2.364015 41.806373, 2.364077 41.806371, 2.364128 41.806342, 2.364186 41.806325, 2.364242 41.806297, 2.364277 41.80626, 2.364325 41.806226, 2.364364 41.806187, 2.364413 41.80615, 2.364471 41.806121, 2.364512 41.806087, 2.364568 41.806064, 2.364621 41.806035, 2.364668 41.805997, 2.364699 41.805957, 2.364748 41.805923, 2.364789 41.805863, 2.364817 41.805814, 2.364842 41.805772, 2.364885 41.805739, 2.364904 41.805695, 2.364936 41.805653, 2.36497 41.805606, 2.364985 41.805558, 2.36501 41.805514, 2.365041 41.805472, 2.365086 41.805429, 2.36515 41.80542, 2.365196 41.805389, 2.365236 41.805354, 2.365272 41.805318, 2.365318 41.805288, 2.365376 41.805266, 2.365437 41.80526, 2.365482 41.805221, 2.36552 41.805179, 2.365579 41.805166, 2.365641 41.805138, 2.365685 41.805105, 2.365712 41.80506, 2.365744 41.805022, 2.365769 41.804979, 2.365803 41.804933, 2.365854 41.804909, 2.365888 41.804866, 2.365942 41.804836, 2.365979 41.804797, 2.366034 41.804773, 2.366106 41.804743, 2.366174 41.804735, 2.36624 41.804749, 2.366286 41.804719, 2.366353 41.80475, 2.366414 41.804747, 2.366481 41.804741, 2.366544 41.804723, 2.366608 41.80471, 2.36667 41.804695, 2.366732 41.804686, 2.366772 41.804646, 2.366817 41.804612, 2.366864 41.804575, 2.366911 41.804542, 2.366972 41.804521, 2.367033 41.804507, 2.367101 41.804481, 2.367172 41.804462, 2.367238 41.804444, 2.367294 41.804427, 2.367351 41.804408, 2.367427 41.804404, 2.367504 41.804393, 2.367566 41.804389, 2.367641 41.804388, 2.367704 41.804379, 2.367767 41.804383, 2.367834 41.804388, 2.367896 41.804403, 2.367949 41.804427, 2.368 41.804457, 2.368079 41.804455, 2.368156 41.80446, 2.368213 41.804479, 2.368284 41.804495, 2.368343 41.804511, 2.368398 41.804529, 2.368453 41.804554, 2.368518 41.804571, 2.368586 41.804593, 2.36864 41.804617, 2.368706 41.804643, 2.368768 41.804643, 2.368831 41.804632, 2.368901 41.804634, 2.368975 41.80464, 2.369041 41.804633, 2.369107 41.804631, 2.369167 41.804634, 2.369235 41.804642, 2.369295 41.804635, 2.369372 41.804632, 2.369441 41.804621, 2.369501 41.804633, 2.369575 41.804644, 2.369642 41.804632, 2.3697 41.804617, 2.369752 41.80459, 2.369819 41.804585, 2.369886 41.804576, 2.369948 41.804571, 2.370012 41.804566, 2.370069 41.804549, 2.370139 41.804546, 2.370207 41.804534, 2.370279 41.804529, 2.370345 41.804531, 2.37041 41.80453, 2.37047 41.804519, 2.370535 41.804526, 2.370609 41.804519, 2.370677 41.804518, 2.370753 41.804512, 2.370815 41.804513, 2.370876 41.804507, 2.370944 41.804497, 2.370996 41.804529, 2.371066 41.804538, 2.37114 41.804537, 2.371203 41.804539, 2.371275 41.804533, 2.371349 41.804559, 2.371414 41.80456, 2.371492 41.804569, 2.371565 41.80458, 2.371645 41.804593, 2.371725 41.804594, 2.371796 41.804598, 2.37186 41.804611, 2.371919 41.804622, 2.371988 41.804629, 2.372052 41.804638, 2.372125 41.804651, 2.372186 41.804662, 2.372253 41.804671, 2.372326 41.804672, 2.372404 41.804678, 2.372465 41.804681, 2.372543 41.804692, 2.372613 41.804716, 2.372675 41.80474, 2.372728 41.804766, 2.372788 41.804793, 2.372851 41.804823, 2.372915 41.804852, 2.372984 41.804873, 2.373044 41.804897, 2.373108 41.804912, 2.373181 41.804919, 2.373244 41.804934, 2.373304 41.804956, 2.373374 41.804968, 2.373441 41.804965, 2.373505 41.804979, 2.373568 41.804997, 2.373635 41.805, 2.373699 41.805021)"
1253,1.28,13.56,Less than 15 min/km,#AC1754,3.04,0.22,27.0,12.27,From 7.5% to 15%,#36C2CE,"LINESTRING (2.373699 41.805021, 2.373751 41.805051, 2.373818 41.805068, 2.373876 41.80509, 2.373941 41.805093, 2.374001 41.805106, 2.374063 41.805124, 2.374126 41.805138, 2.374199 41.805154, 2.374265 41.805163, 2.374325 41.805184, 2.374387 41.805199, 2.374455 41.805192, 2.374519 41.805212, 2.374587 41.805221, 2.374652 41.805231, 2.374706 41.805254, 2.374777 41.80527, 2.374836 41.805284, 2.3749 41.805293, 2.374973 41.805312, 2.375034 41.805323, 2.375096 41.805334, 2.375164 41.805355, 2.375228 41.805357, 2.375287 41.805371, 2.375352 41.805389, 2.375423 41.805417, 2.37548 41.805442, 2.375543 41.805442, 2.375608 41.805461, 2.375672 41.805468, 2.375736 41.805479, 2.375796 41.805487, 2.375865 41.805497, 2.375927 41.805502, 2.375994 41.80551, 2.376067 41.80551, 2.376137 41.805519, 2.376213 41.805518, 2.376275 41.805524)"
1252,1.3,12.92,Less than 15 min/km,#AC1754,1.03,0.08,8.0,10.0,From 7.5% to 15%,#36C2CE,"LINESTRING (2.376275 41.805524, 2.376352 41.805518, 2.376426 41.805524, 2.376494 41.805535, 2.37656 41.805539, 2.376636 41.805548, 2.37669 41.805568, 2.376749 41.805597, 2.376808 41.805625, 2.376864 41.80565, 2.376926 41.805674, 2.376986 41.805688, 2.377045 41.805713, 2.377105 41.805737, 2.377174 41.805761)"
