lon,lat,u,v
2.3915482,41.845225,12574070594.0,12574101846.0
2.3916053,41.845232,12574070594.0,12574101846.0
2.3916619,41.84524,12574070594.0,12574101846.0
2.391724,41.845248,12574070594.0,12574101846.0
2.3917855,41.845257,12574070594.0,12574101846.0
2.3918567,41.845266,12574070594.0,12574101846.0
2.3919201,41.845275,12574070594.0,12574101846.0
2.3919853,41.845283,12574070594.0,12574101846.0
2.3920483,41.845292,12574070594.0,12574101846.0
2.3921138,41.845301,12574070594.0,12574101846.0
2.3921784,41.845309,12574070594.0,12574101846.0
2.3922373,41.845316,12574070594.0,12574101846.0
2.3922971,41.845324,12574070594.0,12574101846.0
2.3923543,41.845325,12574070594.0,12574101846.0
2.3923964,41.845326,12574070594.0,12574101846.0
2.3924502,41.845337,12574070594.0,12574101846.0
2.3924927,41.84536,12574070594.0,12574101846.0
2.3925376,41.845392,12574070594.0,12574101846.0
2.3925832,41.845425,12574070594.0,12574101846.0
2.392623,41.845455,12574070594.0,12574101846.0
2.3926576,41.845495,12574070594.0,12574101846.0
2.3926801,41.84553,12574070594.0,12574101846.0
2.3926913,41.845551,12574070594.0,12574101846.0
2.3926967,41.845597,12574070594.0,12574101846.0
2.3926973,41.845603,12574070594.0,12574101846.0
2.3926817,41.845621,12574070594.0,12574101846.0
2.392621,41.845692,12574070594.0,12574101846.0
2.3925915,41.845727,12574070594.0,12574101846.0
2.3925851,41.845777,12574070594.0,12574101846.0
2.3925928,41.845824,12574070594.0,12574101846.0
2.3926011,41.845874,12574070594.0,12574101846.0
2.3926087,41.84592,12574070594.0,12574101846.0
2.3926288,41.845964,12574070594.0,12574101846.0
2.3926446,41.846012,5793045743.0,12574070594.0
2.3926566,41.846064,5793045743.0,12574070594.0
2.392679,41.846105,5793045743.0,12574070594.0
2.3927183,41.846077,2278829670.0,5793045743.0
2.3927585,41.846022,2278829670.0,5793045743.0
2.3927976,41.845983,2278829670.0,5793045743.0
2.3928583,41.845932,2278829670.0,5793045743.0
2.3929087,41.845915,2278829670.0,5793045743.0
2.3930145,41.84588,2278829670.0,5793045743.0
2.3930718,41.845861,2278829670.0,5793045743.0
2.3931168,41.845845,2278829670.0,5793045743.0
2.3931552,41.845822,2278829670.0,5793045743.0
2.393191,41.845783,2278829670.0,5793045743.0
2.3932342,41.845736,2278829670.0,5793045743.0
2.3932547,41.845701,2278829670.0,5793045743.0
2.3932794,41.845657,2278829670.0,5793045743.0
2.3933041,41.845613,2278829670.0,5793045743.0
2.3933282,41.84557,2278829670.0,5793045743.0
2.3933587,41.845515,2278829670.0,5793045743.0
2.3933847,41.845468,2278829670.0,5793045743.0
