lon,lat,u,v
2.4179303,41.804274,1412031236.0,4819979264.0
2.4179055,41.804278,1412031236.0,4819979264.0
2.4178439,41.804291,1412031236.0,4819979264.0
2.417782,41.804305,1412031236.0,4819979264.0
2.4177143,41.804317,1412031236.0,4819979264.0
2.4176535,41.804329,1412031236.0,4819979264.0
2.4175958,41.804337,1412031236.0,4819979264.0
2.417532,41.804343,1412031236.0,4819979264.0
2.4174621,41.804345,1412031236.0,4819979264.0
2.4173981,41.804345,1412031236.0,4819979264.0
2.4173286,41.804339,1412031236.0,4819979264.0
2.4172643,41.804327,1412031236.0,4819979264.0
2.4171435,41.804305,1412031236.0,4819979264.0
2.4170544,41.804296,1412031236.0,4819979264.0
2.416953,41.804286,1412031236.0,4819979264.0
2.4168637,41.804277,1412031236.0,4819979264.0
2.416779,41.804264,1412031236.0,4819979264.0
2.4166921,41.804253,1412031236.0,4819979264.0
2.4165644,41.80429,1412031236.0,4819979264.0
2.4165136,41.804349,1412031236.0,4819979264.0
2.4164968,41.804392,1412031236.0,4819979264.0
2.4164851,41.804456,1412031236.0,4819979264.0
2.4164761,41.804496,1412031236.0,4819979264.0
2.4164564,41.80455,1412031236.0,4819979264.0
2.4164206,41.804572,1412031236.0,4819979264.0
2.416337,41.804601,1412031236.0,4819979264.0
2.4162705,41.804621,1412031236.0,4819979264.0
2.4162102,41.804641,1412031236.0,4819979264.0
2.4161696,41.804635,1412031236.0,4819979264.0
2.4160857,41.804655,1412031236.0,4819979264.0
2.4160929,41.804714,1412031236.0,4819979264.0
2.4160605,41.80475,1412031236.0,4819979264.0
2.416022,41.804796,1412031236.0,4819979264.0
2.4160003,41.804839,1412031236.0,4819979264.0
2.41595,41.80484,1412031236.0,4819979264.0
2.4158853,41.804842,1412031236.0,4819979264.0
2.4158341,41.804845,1412031236.0,4819979264.0
2.4157644,41.80485,1412031236.0,4819979264.0
2.4157105,41.804848,1412031236.0,4819979264.0
2.4156432,41.804845,1412031236.0,4819979264.0
2.4155485,41.804841,1412031236.0,4819979264.0
2.4154817,41.80484,1412031236.0,4819979264.0
2.4154207,41.804838,1412031236.0,4819979264.0
2.4153505,41.804837,1412031236.0,4819979264.0
2.4152912,41.804836,1412031236.0,4819979264.0
2.4152442,41.804833,1412031236.0,4819979264.0
2.4151821,41.804829,1412031236.0,4819979264.0
2.4152023,41.80483,1412031236.0,4819979264.0
2.4151345,41.804826,1412031236.0,4819979264.0
2.4150731,41.80482,1412031236.0,4819979264.0
2.4150186,41.804814,1412031236.0,4819979264.0
2.4149585,41.804808,1412031236.0,4819979264.0
2.4148977,41.804802,1412031236.0,4819979264.0
2.414831,41.804792,1412031236.0,4819979264.0
2.4147714,41.804781,1412031236.0,4819979264.0
2.4147108,41.80477,1412031236.0,4819979264.0
2.4146617,41.804754,1412031236.0,4819979264.0
2.4146017,41.804734,1412031236.0,4819979264.0
2.4145379,41.804717,1412031236.0,4819979264.0
2.414481,41.804715,1412031236.0,4819979264.0
2.4144174,41.804713,1412031236.0,4819979264.0
2.4143751,41.804701,1412031236.0,4819979264.0
2.4143231,41.804674,1412031236.0,4819979264.0
2.4142608,41.804651,1412031236.0,4819979264.0
2.4141795,41.804635,1412031236.0,4819979264.0
2.4141166,41.804622,1412031236.0,4819979264.0
2.4140555,41.80461,1412031236.0,4819979264.0
2.4139949,41.804598,1412031236.0,4819979264.0
2.4139303,41.804585,1412031236.0,4819979264.0
2.4138698,41.804573,1412031236.0,4819979264.0
2.4138092,41.804563,1412031236.0,4819979264.0
2.4137292,41.804549,1412031236.0,4819979264.0
2.4136682,41.804538,1412031236.0,4819979264.0
2.4136137,41.804527,1412031236.0,4819979264.0
2.4135603,41.804512,1412031236.0,4819979264.0
2.4134927,41.804492,1412031236.0,4819979264.0
2.4134379,41.804477,1412031236.0,4819979264.0
2.4133797,41.80446,1412031236.0,4819979264.0
2.4133142,41.80444,1412031236.0,4819979264.0
2.4132534,41.804425,1412031236.0,4819979264.0
2.4131935,41.804411,1412031236.0,4819979264.0
2.4131338,41.804397,1412031236.0,4819979264.0
2.4130782,41.804384,1412031236.0,4819979264.0
2.4130029,41.804367,1412031236.0,4819979264.0
2.4129373,41.804355,1412031236.0,4819979264.0
2.4128747,41.804346,1412031236.0,4819979264.0
2.4127866,41.804332,1412031236.0,4819979264.0
2.4127347,41.804324,1412031236.0,4819979264.0
2.4126736,41.804317,1412031236.0,4819979264.0
2.4126101,41.80431,1412031236.0,4819979264.0
2.4125345,41.804313,1412031236.0,4819979264.0
2.4124724,41.804326,1412031236.0,4819979264.0
2.4123793,41.804347,1412031236.0,4819979264.0
2.4123316,41.804364,1412031236.0,4819979264.0
2.4122695,41.804345,1412031236.0,4819979264.0
2.4122112,41.80433,1412031236.0,4819979264.0
2.4121692,41.804309,1412031236.0,4819979264.0
2.4121943,41.80429,1412031236.0,4819979264.0
2.4122539,41.804274,1412031236.0,4819979264.0
2.4123038,41.80426,1412031236.0,4819979264.0
2.4122973,41.804262,1412031236.0,4819979264.0
2.41228,41.804267,1412031236.0,4819979264.0
2.4123411,41.804239,1412031236.0,4819979264.0
2.4123889,41.804209,1412031236.0,4819979264.0
2.4124366,41.804175,1412031236.0,4819979264.0
2.4124854,41.804134,1412031236.0,4819979264.0
2.4125291,41.804098,1412031236.0,4819979264.0
2.4125888,41.804069,1412031236.0,4819979264.0
2.4126552,41.80404,1412031236.0,4819979264.0
2.4127095,41.80402,1412031236.0,4819979264.0
2.4127615,41.803993,1412031236.0,4819979264.0
2.4128284,41.80397,1412031236.0,4819979264.0
2.4128881,41.803953,1412031236.0,4819979264.0
2.4128678,41.803959,1412031236.0,4819979264.0
2.4127989,41.80389,1412031236.0,4819979264.0
2.412733,41.80389,1412031236.0,4819979264.0
2.412672,41.80389,1412031236.0,4819979264.0
2.41261,41.803888,1412031236.0,4819979264.0
2.4125393,41.803884,1412031236.0,4819979264.0
2.4124435,41.80388,1412031236.0,4819979264.0
2.4123823,41.803877,1412031236.0,4819979264.0
2.4123047,41.803873,1412031236.0,4819979264.0
2.4122426,41.803869,1412031236.0,4819979264.0
2.4121724,41.803863,1412031236.0,4819979264.0
2.4121087,41.803852,1412031236.0,4819979264.0
2.4120216,41.803832,1412031236.0,4819979264.0
2.4119624,41.803818,1412031236.0,4819979264.0
2.4119007,41.803804,1412031236.0,4819979264.0
2.4118434,41.803791,1412031236.0,4819979264.0
2.4117727,41.803771,1412031236.0,4819979264.0
2.411708,41.803722,1412031236.0,4819979264.0
2.4116615,41.803681,1412031236.0,4819979264.0
2.4116421,41.803666,1412031236.0,4819979264.0
2.4117242,41.803482,1412031236.0,4819979264.0
2.4117982,41.803481,1412031236.0,4819979264.0
2.4118784,41.803482,1412031236.0,4819979264.0
2.4119371,41.803488,1412031236.0,4819979264.0
2.4119653,41.803491,1412031236.0,4819979264.0
2.4119726,41.803492,1412031236.0,4819979264.0
2.4121077,41.803359,1412031236.0,4819979264.0
2.4119143,41.803134,4819979264.0,4819979315.0
2.4119073,41.803135,4819979264.0,4819979315.0
2.411852,41.803123,4819979264.0,4819979315.0
2.411852,41.803123,4819979264.0,4819979315.0
2.411852,41.803122,4819979264.0,4819979315.0
2.4118366,41.803073,4819979264.0,4819979315.0
2.4118293,41.803049,4819979264.0,4819979315.0
2.4118293,41.803049,4819979264.0,4819979315.0
2.4117447,41.802853,4819979264.0,4819979315.0
2.4117447,41.802853,4819979264.0,4819979315.0
2.4117447,41.802853,4819979264.0,4819979315.0
2.4117447,41.802853,4819979264.0,4819979315.0
2.4117447,41.802853,4819979264.0,4819979315.0
2.4117597,41.802814,4819979264.0,4819979315.0
2.4117402,41.802692,4819979264.0,4819979315.0
2.4117381,41.802685,4819979264.0,4819979315.0
2.4116856,41.802605,4819979264.0,4819979315.0
2.41165,41.802623,4819979264.0,4819979315.0
2.4115996,41.802681,4819979264.0,4819979315.0
2.4115502,41.802679,4819979264.0,4819979315.0
2.4115563,41.802637,4819979264.0,4819979315.0
2.411511,41.802555,4819979264.0,4819979315.0
2.4114658,41.802563,4819979264.0,4819979315.0
2.4114481,41.802551,4819979264.0,4819979315.0
2.4114488,41.802511,4819979264.0,4819979315.0
2.4114699,41.80249,4819979264.0,4819979315.0
2.4114555,41.802425,4819979264.0,4819979315.0
2.4113952,41.802378,4819979264.0,4819979315.0
2.4114261,41.802346,4819979264.0,4819979315.0
2.4113562,41.802334,4819979264.0,4819979315.0
2.4113561,41.802303,4819979264.0,4819979315.0
2.4113561,41.802257,4819979264.0,4819979315.0
2.411356,41.802215,4819979264.0,4819979315.0
2.4113629,41.802187,4819979264.0,4819979315.0
2.4113762,41.802134,4819979264.0,4819979315.0
2.4113865,41.802093,4819979264.0,4819979315.0
2.4113984,41.802046,4819979264.0,4819979315.0
2.4114091,41.801985,4819979264.0,4819979315.0
2.4114126,41.801938,4819979264.0,4819979315.0
2.411416,41.80189,4819979264.0,4819979315.0
2.41142,41.801836,4819979264.0,4819979315.0
2.4114153,41.801774,4819979264.0,4819979315.0
2.4114093,41.801726,4819979264.0,4819979315.0
2.4114042,41.801684,4819979264.0,4819979315.0
2.411409,41.801646,4819979264.0,4819979315.0
2.4114145,41.801603,4819979264.0,4819979315.0
2.4114201,41.801559,4819979264.0,4819979315.0
2.4113743,41.801468,4819979264.0,4819979315.0
2.411354,41.80146,4819979264.0,4819979315.0
2.4113265,41.801449,4819979264.0,4819979315.0
2.4113076,41.801429,4819979264.0,4819979315.0
2.4112696,41.801388,4819979264.0,4819979315.0
2.4112452,41.801361,4819979264.0,4819979315.0
2.4112452,41.801361,4819979264.0,4819979315.0
2.4112468,41.801344,4819979264.0,4819979315.0
2.4112514,41.801294,4819979264.0,4819979315.0
2.411256,41.801245,4819979264.0,4819979315.0
2.4112542,41.801264,4819979264.0,4819979315.0
2.4110375,41.801072,4819979264.0,4819979315.0
2.4110003,41.80107,4819979264.0,4819979315.0
2.4109554,41.801069,4819979264.0,4819979315.0
2.4109464,41.80106,4819979264.0,4819979315.0
2.410912,41.801025,4819979264.0,4819979315.0
2.410873,41.800989,4819979264.0,4819979315.0
2.4108362,41.800956,4819979264.0,4819979315.0
2.4107333,41.800904,4819979264.0,4819979315.0
2.4106706,41.800884,4819979264.0,4819979315.0
2.4106153,41.800866,4819979264.0,4819979315.0
2.4105255,41.800837,4819979264.0,4819979315.0
2.4104691,41.800819,4819979264.0,4819979315.0
2.4104047,41.800796,4819979264.0,4819979315.0
2.410332,41.80077,4819979264.0,4819979315.0
2.4102565,41.800742,4819979264.0,4819979315.0
2.4101961,41.800718,4819979264.0,4819979315.0
2.4101453,41.800698,4819979264.0,4819979315.0
2.4100735,41.800682,4819979264.0,4819979315.0
2.4100074,41.800684,4819979264.0,4819979315.0
2.4099508,41.800685,4819979264.0,4819979315.0
2.409894,41.800684,4819979264.0,4819979315.0
2.4098394,41.800679,4819979264.0,4819979315.0
2.4097777,41.800673,4819979264.0,4819979315.0
2.4096948,41.800687,4819979264.0,4819979315.0
2.4096316,41.800702,4819979264.0,4819979315.0
2.4095619,41.80071,4819979264.0,4819979315.0
2.4094553,41.800708,4819979264.0,4819979315.0
2.4093836,41.80071,4819979264.0,4819979315.0
2.4093331,41.800741,4819979264.0,4819979315.0
2.4092912,41.800767,4819979264.0,4819979315.0
2.4092297,41.800786,4819979264.0,4819979315.0
2.40917,41.800805,4819979264.0,4819979315.0
2.409133,41.800845,4819979264.0,4819979315.0
2.4090996,41.800881,4819979264.0,4819979315.0
2.4090549,41.800907,4819979264.0,4819979315.0
2.408993,41.800908,4819979264.0,4819979315.0
2.4089228,41.80091,4819979264.0,4819979315.0
2.4088496,41.800924,4819979264.0,4819979315.0
2.4087829,41.800938,4819979264.0,4819979315.0
2.4087336,41.800939,4819979264.0,4819979315.0
2.4086572,41.80093,4819979264.0,4819979315.0
2.4085331,41.800933,4819979264.0,4819979315.0
2.4084877,41.800952,4819979264.0,4819979315.0
2.4084253,41.800978,4819979264.0,4819979315.0
