lon,lat,u,v
2.3476622,41.800952,1867011849.0,11663530099.0
2.3477275,41.80096,1867011849.0,11663530099.0
2.347794,41.800965,1867011836.0,1867011849.0
2.3477623,41.800971,666342843.0,1867011849.0
2.3476968,41.801003,666342843.0,1867011849.0
2.3476495,41.801051,666342843.0,1867011849.0
2.3476547,41.801112,666342843.0,1867011849.0
2.3477234,41.801138,666342843.0,1867011849.0
2.3477822,41.801161,666342843.0,1867011849.0
2.3478438,41.801185,666342843.0,1867011849.0
2.3478946,41.801173,666342843.0,1867011849.0
2.3479627,41.801156,666342843.0,1867011849.0
2.3480248,41.801161,666342843.0,7969237901.0
2.3480963,41.801178,666342843.0,7969237901.0
2.3481426,41.801221,666342843.0,7969237901.0
2.3481963,41.80125,666342843.0,7969237901.0
2.3482551,41.801264,666342843.0,7969237901.0
2.3483112,41.801277,666342843.0,7969237901.0
2.3483682,41.801299,666342843.0,7969237901.0
2.3484201,41.801325,666342843.0,7969237901.0
2.3484779,41.801339,666342843.0,7969237901.0
2.3485448,41.801341,666342843.0,7969237901.0
2.3486037,41.801344,666342843.0,7969237901.0
2.3486397,41.801402,842026008.0,7969237901.0
2.3486457,41.80145,7969237899.0,7969237901.0
2.3485892,41.801473,7969237899.0,7969237901.0
2.3485243,41.801499,7969237899.0,7969237901.0
2.3485297,41.801572,666342869.0,7969237899.0
2.348575,41.801602,666342869.0,7969237899.0
2.3486166,41.801629,666342869.0,7969237899.0
2.3486906,41.801657,666342869.0,7969237899.0
2.3488298,41.801701,666342869.0,7969237899.0
2.3488642,41.801724,666342869.0,7969237899.0
2.3489044,41.801752,666342869.0,7969237899.0
2.3489469,41.801795,666342869.0,7969237899.0
2.3489687,41.801832,666342869.0,7969237899.0
2.3489981,41.801913,666342869.0,7969237899.0
2.3489872,41.801976,666342869.0,7969237899.0
2.3489879,41.802001,666342869.0,7969237899.0
2.3492294,41.802274,666342869.0,7969237899.0
2.3492847,41.80233,666342869.0,7969237899.0
2.3493161,41.802366,666342869.0,7969237899.0
2.349392,41.802428,666342869.0,7969237899.0
2.3494444,41.80246,666342869.0,7969237899.0
2.3494972,41.802493,666342869.0,7969237899.0
2.3495298,41.802513,666342869.0,7969237899.0
2.3495855,41.802536,666342869.0,7969237899.0
2.3496408,41.802558,666342869.0,7969237899.0
2.3496932,41.802582,666342869.0,7969237899.0
2.3497706,41.802625,666342869.0,7969237899.0
2.3497841,41.802653,666342869.0,7969237899.0
2.3498285,41.802747,666342869.0,7969237899.0
2.3498914,41.802813,666342869.0,7969237899.0
2.3499336,41.802839,666342869.0,7969237899.0
2.3499523,41.80285,666342869.0,7969237899.0
2.3500059,41.802883,666342869.0,7969237899.0
2.3500543,41.802913,666342869.0,7969237899.0
2.3501051,41.802944,666342869.0,7969237899.0
2.3501473,41.802969,666342869.0,7969237899.0
2.3502051,41.803001,666342869.0,7969237899.0
2.3502451,41.803023,666342869.0,7969237899.0
2.3502998,41.803053,666342869.0,7969237899.0
2.3503272,41.803069,666342869.0,7969237899.0
2.3503586,41.80309,666342869.0,7969237899.0
2.350406,41.803122,666342869.0,7969237899.0
2.3504943,41.803197,666342869.0,7969237899.0
2.3505235,41.803245,666342869.0,7969237899.0
2.3505524,41.803292,666342869.0,7969237899.0
2.3505784,41.803334,666342869.0,7969237899.0
2.3506079,41.803371,666342869.0,7969237899.0
2.3506398,41.803409,666342869.0,7969237899.0
2.3506705,41.803447,666342869.0,7969237899.0
2.3506996,41.803481,666342869.0,7969237899.0
2.3507382,41.803523,666342869.0,7969237899.0
2.3507777,41.803565,666342869.0,7969237899.0
2.3508118,41.803602,666342869.0,7969237899.0
2.3508435,41.803645,666342869.0,7969237899.0
2.3508748,41.803691,666342869.0,7969237899.0
2.3509127,41.803733,666342869.0,7969237899.0
2.3509463,41.803769,666342869.0,7969237899.0
2.3509663,41.803809,666342869.0,7969237899.0
2.3509881,41.80386,666342869.0,7969237899.0
2.3510207,41.803907,666342869.0,7969237899.0
2.3510632,41.803943,666342869.0,7969237899.0
2.3511056,41.803979,666342869.0,7969237899.0
2.3511457,41.804013,666342869.0,7969237899.0
2.3511763,41.804049,666342869.0,7969237899.0
2.3512094,41.804089,666342869.0,7969237899.0
2.3512382,41.804124,666342869.0,7969237899.0
2.3512723,41.804166,666342869.0,7969237899.0
2.3513083,41.804209,666342869.0,7969237899.0
2.3513997,41.804266,666342869.0,7969237899.0
2.351447,41.804288,666342869.0,7969237899.0
2.351497,41.804312,666342869.0,7969237899.0
2.3515353,41.80433,666342869.0,7969237899.0
2.3515659,41.804356,666342869.0,7969237899.0
2.3516056,41.804395,666342869.0,7969237899.0
2.3516471,41.804435,666342869.0,7969237899.0
2.3516855,41.804473,666342869.0,7969237899.0
2.3517173,41.804504,666342869.0,7969237899.0
2.3517443,41.80455,666342869.0,666342886.0
2.3517623,41.804598,666342869.0,666342886.0
2.3517992,41.804652,666342869.0,666342886.0
2.3518281,41.804685,666342869.0,666342886.0
2.3518606,41.804722,666342869.0,666342886.0
2.3518215,41.804825,666342870.0,2881839011.0
2.3518454,41.804866,666342870.0,2881839011.0
2.3518715,41.804912,666342870.0,2881839011.0
2.3518971,41.804957,666342870.0,2881839011.0
2.3519259,41.805007,666342870.0,2881839011.0
2.3519597,41.805066,666342870.0,2881839011.0
2.3519868,41.805113,666342870.0,2881839011.0
2.352021,41.805173,666342870.0,2881839011.0
2.3520456,41.805216,666342870.0,2881839011.0
2.3520742,41.805266,666342870.0,2881839011.0
2.3520969,41.805305,666342870.0,2881839011.0
2.3522408,41.805557,666342870.0,2881839011.0
2.3522674,41.805603,666342870.0,2881839011.0
2.3522957,41.805652,666342870.0,2881839011.0
2.3523152,41.805686,666342870.0,2881839011.0
2.3523753,41.8058,666342870.0,2881839011.0
2.3524007,41.805851,666342870.0,2881839011.0
2.3524226,41.805895,666342870.0,2881839011.0
2.3524452,41.80594,666342870.0,2881839011.0
2.3525142,41.806079,666342870.0,2881839011.0
2.352541,41.806132,666342870.0,2881839011.0
2.3525635,41.806177,666342870.0,2881839011.0
2.3525847,41.80622,666342870.0,2881839011.0
2.3526497,41.80635,666342870.0,2881839011.0
2.3526774,41.806406,666342870.0,2881839011.0
2.3526993,41.80645,666342870.0,2881839011.0
2.3527197,41.806491,666342870.0,2881839011.0
2.3527518,41.80654,666342870.0,2881839011.0
2.3527845,41.806582,666342870.0,2881839011.0
2.3528161,41.806621,666342870.0,2881839011.0
2.352851,41.806665,666342870.0,2881839011.0
2.3528771,41.806698,666342870.0,2881839011.0
2.3529077,41.806737,666342870.0,2881839011.0
2.3529392,41.806776,666342870.0,2881839011.0
2.3529725,41.806818,666342870.0,2881839011.0
2.3530141,41.806871,666342870.0,2881839011.0
2.3530465,41.806912,666342870.0,2881839011.0
2.353242,41.807135,666342870.0,2881839011.0
2.3532833,41.807175,666342870.0,2881839011.0
2.3533198,41.80721,666342870.0,2881839011.0
2.3533603,41.807249,666342870.0,2881839011.0
2.3534008,41.807288,666342870.0,2881839011.0
2.3534306,41.807317,666342870.0,2881839011.0
2.353474,41.807359,666342870.0,2881839011.0
2.3535782,41.807422,2881839011.0,12323334092.0
2.3536049,41.807428,2881839011.0,12323334092.0
2.3536573,41.807438,2881839011.0,12323334092.0
2.3537067,41.807448,2881839011.0,12323334092.0
2.3537451,41.807456,2881839011.0,12323334092.0
2.3537545,41.807458,2881839011.0,12323334092.0
2.3537694,41.807461,2881839011.0,12323334092.0
2.3537168,41.80745,2881839011.0,12323334092.0
2.3535578,41.807783,2881839011.0,8287065037.0
2.3534119,41.80763,2881839011.0,8287065037.0
2.3534184,41.807638,2881839011.0,8287065037.0
2.35342,41.80764,2881839011.0,8287065037.0
2.3534354,41.807658,2881839011.0,8287065037.0
2.3532698,41.80829,2881839011.0,8287065037.0
2.3532277,41.808305,2881839011.0,8287065037.0
2.3531688,41.808325,2881839011.0,8287065037.0
2.3531236,41.808341,2881839011.0,8287065037.0
2.3530777,41.808357,2881839011.0,8287065037.0
2.3530171,41.808379,2881839011.0,8287065037.0
2.3529834,41.80839,2881839011.0,8287065037.0
2.3529282,41.80841,2881839011.0,8287065037.0
2.3528941,41.808422,842026318.0,8287065037.0
2.3528656,41.808432,842026318.0,8287065037.0
2.3528055,41.808453,842026318.0,8287065037.0
2.3527471,41.808473,842026318.0,8287065037.0
2.352689,41.808494,842026318.0,8287065037.0
2.3526364,41.808512,842026318.0,8287065037.0
2.3526364,41.808512,842026318.0,8287065037.0
2.3526038,41.808545,842026318.0,8287065037.0
2.3525602,41.80859,842026318.0,8287065037.0
2.3525499,41.8086,842026318.0,8287065037.0
2.3525219,41.808629,842026318.0,8287065037.0
2.3524773,41.808674,842026318.0,8287065037.0
2.3524352,41.808717,842026318.0,8287065037.0
2.352396,41.808764,842026318.0,8287065037.0
2.3523646,41.808803,842026318.0,8287065037.0
2.3523317,41.808844,842026318.0,8287065037.0
2.3523003,41.808883,842026318.0,8287065037.0
2.3522688,41.808922,842026318.0,8287065037.0
2.3522356,41.808963,842026318.0,8287065037.0
2.3522026,41.809008,842026318.0,8287065037.0
2.3521806,41.809059,842026318.0,8287065037.0
2.3521605,41.809106,842026318.0,8287065037.0
2.3521402,41.809153,842026318.0,8287065037.0
2.35212,41.8092,842026318.0,8287065037.0
2.3520978,41.809251,842026318.0,8287065037.0
2.3520756,41.809303,842026318.0,8287065037.0
2.3520536,41.809354,842026318.0,8287065037.0
2.3520342,41.809399,842026318.0,8287065037.0
2.3520201,41.809431,842026318.0,8287065037.0
2.3520008,41.809476,842026318.0,8287065037.0
2.3519811,41.809522,842026318.0,8287065037.0
2.3519618,41.809567,842026318.0,8287065037.0
2.351943,41.80961,842026318.0,8287065037.0
2.3519224,41.809653,842026318.0,8287065037.0
2.3519012,41.809695,842026318.0,8287065037.0
2.3518763,41.809745,842026318.0,8287065037.0
2.3518507,41.809796,842026318.0,8287065037.0
2.3518304,41.809837,842026318.0,8287065037.0
2.3518113,41.809875,842026318.0,8287065037.0
2.3517607,41.809919,842026318.0,8287065037.0
2.3517186,41.809955,842026318.0,8287065037.0
2.3516824,41.809986,842026318.0,8287065037.0
2.3516403,41.810021,842026318.0,8287065037.0
2.3515987,41.810057,842026318.0,8287065037.0
2.3515549,41.810094,842026318.0,8287065037.0
2.3515145,41.810129,842026318.0,8287065037.0
2.3514576,41.810157,842026318.0,8287065037.0
2.3514096,41.81018,842026318.0,8287065037.0
2.3513589,41.810205,842026318.0,8287065037.0
2.3513013,41.810232,842026318.0,8287065037.0
2.3512465,41.810259,842026318.0,8287065037.0
2.3511859,41.810288,842026318.0,8287065037.0
2.3511318,41.810313,842026318.0,8287065037.0
2.3510749,41.81034,842026318.0,8287065037.0
2.3510203,41.810365,842026318.0,8287065037.0
2.350963,41.810392,842026318.0,8287065037.0
2.3509125,41.810415,842026318.0,8287065037.0
2.3508584,41.81044,842026318.0,8287065037.0
2.3507949,41.810459,842026318.0,8287065037.0
2.3507236,41.810481,842026318.0,8287065037.0
2.3506596,41.810501,842026318.0,8287065037.0
2.3506083,41.810505,842026318.0,8287065037.0
2.3505452,41.810499,842026318.0,8287065037.0
2.3505177,41.810496,842026318.0,8287065037.0
2.3502926,41.810525,842026021.0,842026318.0
2.3502582,41.810573,842026021.0,842026318.0
2.3502211,41.810645,842026021.0,842026318.0
2.350235,41.810731,842026021.0,842026318.0
2.3502666,41.810754,842026021.0,842026318.0
2.3503,41.810772,842026021.0,842026318.0
2.3503598,41.810791,842026021.0,842026318.0
2.3504172,41.810806,842026021.0,842026318.0
2.3504746,41.810819,842026021.0,842026318.0
2.3505468,41.810838,842026021.0,842026318.0
2.3506073,41.810854,842026021.0,842026318.0
2.3506716,41.810872,842026021.0,842026318.0
2.3507384,41.81089,842026021.0,842026318.0
2.3507993,41.810907,842026021.0,842026318.0
2.3508641,41.810929,842026021.0,842026318.0
2.3509354,41.810961,842026021.0,842026318.0
2.350983,41.810997,842026021.0,842026318.0
2.3510255,41.811052,842026021.0,842026318.0
2.3510541,41.811094,842026021.0,842026318.0
2.3510783,41.811146,842026021.0,842026318.0
2.3510884,41.811197,842026021.0,842026318.0
2.3510877,41.811249,842026021.0,842026318.0
2.3510734,41.81129,842026021.0,842026318.0
2.3510567,41.811339,842026021.0,842026318.0
2.3510346,41.811381,842026021.0,842026318.0
2.3510064,41.811431,842026021.0,842026318.0
2.3509802,41.811479,842026021.0,842026318.0
2.3509596,41.811524,842026021.0,842026318.0
2.3509473,41.811577,842026021.0,842026318.0
2.3509409,41.811623,842026021.0,842026318.0
2.350936,41.811677,842026021.0,842026318.0
2.3509476,41.811728,842026021.0,842026318.0
2.350968,41.811776,842026021.0,842026318.0
2.3510041,41.811819,842026021.0,842026318.0
2.3510469,41.811849,842026021.0,842026318.0
2.3510999,41.811865,842026021.0,842026318.0
2.3511763,41.811887,842026021.0,842026318.0
2.3512342,41.811904,842026021.0,842026318.0
2.3512943,41.81192,842026021.0,842026318.0
2.3513598,41.811938,842026021.0,842026318.0
