track_id,url,title,user,difficulty,distance,elev_gain,elev_loss,date,year,month,weekday,season,min_temp,max_temp,weather_condition,total_time,avg_pace,first_lat,first_lon,last_lat,last_lon
187591820,https://ca.wikiloc.com/rutes-senderisme/410-pic-de-tres-estelles-100-cims-des-de-coll-de-mentet-187591820,410- Pic de Très Estelles 100 cims des de Coll de Mentet,2094809,Fàcil,7.72,486.9,490.3,2024-10-08,2024,October,Tuesday,Autumn,1.8,8.8,Rain,134.52,4.153787425149701,42.481365,2.314325,42.481378,2.31444
187694864,https://ca.wikiloc.com/rutes-senderisme/circulaire-route-in-amelie-les-bains-richting-le-calvaire-de-montbolo-187694864,CIRCULAIRE ROUTE IN AMÉLIE-LES-BAINS RICHTING LE CALVAIRE DE MONTBOLO,179873,Fàcil,4.84,355.1,360.4,2024-10-09,2024,October,Wednesday,Autumn,2.1,12.5,Drizzle,92.78,3.348825065274151,42.474822,2.664633,42.474302,2.664791
187697056,https://ca.wikiloc.com/rutes-senderisme/wandeling-vanuit-amelie-les-bains-naar-la-palalda-187697056,WANDELING VANUIT AMÉLIE-LES-BAINS NAAR LA PALALDA,179873,Fàcil,8.89,781.0,806.4,2024-10-09,2024,October,Wednesday,Autumn,2.1,12.5,Drizzle,209.3,2.893343023255814,42.474347,2.666487,42.474845,2.664908
187706810,https://ca.wikiloc.com/rutes-senderisme/el-sola-187706810,El Solà,3229486,Moderat,11.21,735.8,728.0,2024-10-09,2024,October,Wednesday,Autumn,2.1,12.5,Drizzle,280.7,3.603132895401718,42.57473,2.31338,42.574678,2.31328
