id,lat,lon,elev,elev_diff,dist_diff,time_diff,speed,pace,elap_elev_gain,elap_dist,elap_time,edge_id,osm_lat,osm_lon
1,41.801184,2.347686,1146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257,41.801132,2.3477063
2,41.801195,2.347749,1147.3,1.3,5.38,9.0,0.6,27.78,1.3,0.01,0.15,257,41.801154,2.3477648
3,41.801213,2.347805,1148.6,1.3,5.07,6.0,0.85,19.61,2.6,0.01,0.25,257,41.801175,2.3478196
4,41.801211,2.347866,1149.0,0.4,5.07,12.0,0.42,39.68,3.0,0.02,0.45,257,41.801182,2.3478587
5,41.801177,2.347935,1149.4,0.4,6.87,63.0,0.11,151.52,3.4,0.02,1.5,257,41.801164,2.3479316
6,41.801185,2.347996,1150.4,1.0,5.15,6.0,0.86,19.38,4.4,0.03,1.6,258,41.801155,2.3480055
7,41.801199,2.348068,1151.4,1.0,6.18,7.0,0.88,18.94,5.4,0.03,1.72,258,41.801173,2.3480734
8,41.801236,2.348122,1151.6,0.2,6.09,3.0,2.03,8.21,5.6,0.04,1.77,258,41.801218,2.3481388
9,41.801275,2.348163,1152.4,0.8,5.51,8.0,0.69,24.15,6.4,0.05,1.9,258,41.801244,2.3481706
10,41.801302,2.348222,1153.5,1.1,5.75,7.0,0.82,20.33,7.5,0.05,2.02,258,41.801258,2.3482325
11,41.801312,2.348281,1155.1,1.6,5.03,4.0,1.26,13.23,9.1,0.06,2.08,258,41.801272,2.3482905
12,41.801327,2.348341,1157.1,2.0,5.26,6.0,0.88,18.94,11.1,0.06,2.18,258,41.801294,2.3483579
13,41.801356,2.348402,1158.3,1.2,6.01,7.0,0.86,19.38,12.3,0.07,2.3,258,41.801324,2.3484182
14,41.801374,2.34846,1159.4,1.1,5.22,7.0,0.75,22.22,13.4,0.07,2.42,258,41.801338,2.3484611
15,41.801378,2.348538,1160.8,1.4,6.5,7.0,0.93,17.92,14.8,0.08,2.53,258,41.801415,2.3485427
16,41.801375,2.348605,1162.4,1.6,5.58,7.0,0.8,20.83,16.4,0.08,2.65,258,41.801347,2.3486138
17,41.801428,2.34861,1163.8,1.4,5.9,6.0,0.98,17.01,17.8,0.09,2.75,258,41.801406,2.3486072
18,41.801477,2.348574,1165.2,1.4,6.21,5.0,1.24,13.44,19.2,0.1,2.83,258,41.801478,2.3485746
19,41.801511,2.348532,1166.8,1.6,5.14,4.0,1.28,13.02,20.8,0.1,2.9,258,41.801498,2.3485267
20,41.801553,2.348504,1167.9,1.1,5.21,6.0,0.87,19.16,21.9,0.11,3.0,261,41.801554,2.3485146
21,41.801598,2.348499,1168.4,0.5,5.02,8.0,0.63,26.46,22.4,0.11,3.13,261,41.801566,2.3485211
22,41.801631,2.348542,1169.0,0.6,5.12,9.0,0.57,29.24,23.0,0.12,3.28,261,41.801596,2.3485658
23,41.801628,2.348605,1169.9,0.9,5.25,5.0,1.05,15.87,23.9,0.12,3.37,261,41.801625,2.3486074
24,41.80166,2.348656,1171.1,1.2,5.53,9.0,0.61,27.32,25.1,0.13,3.52,261,41.801646,2.3486613
25,41.801689,2.348714,1172.5,1.4,5.8,8.0,0.72,23.15,26.5,0.13,3.65,261,41.801666,2.3487209
26,41.801694,2.348781,1174.5,2.0,5.6,7.0,0.8,20.83,28.5,0.14,3.77,261,41.801685,2.3487838
27,41.801712,2.34885,1176.6,2.1,6.07,6.0,1.01,16.5,30.6,0.15,3.87,261,41.801714,2.3488487
28,41.801724,2.34891,1178.0,1.4,5.16,6.0,0.86,19.38,32.0,0.15,3.97,261,41.801746,2.3488951
29,41.80176,2.348954,1179.2,1.2,5.42,13.0,0.42,39.68,33.2,0.16,4.18,261,41.801772,2.3489341
30,41.801813,2.348938,1180.5,1.3,6.03,14.0,0.43,38.76,34.5,0.16,4.42,261,41.801805,2.3489527
31,41.80186,2.348942,1182.0,1.5,5.23,5.0,1.05,15.87,36.0,0.17,4.5,261,41.801841,2.348974
32,41.801912,2.348955,1183.9,1.9,5.88,9.0,0.65,25.64,37.9,0.17,4.65,261,41.801919,2.348997
33,41.801958,2.348944,1185.4,1.5,5.19,7.0,0.74,22.52,39.4,0.18,4.77,261,41.801966,2.348989
34,41.802002,2.348959,1186.9,1.5,5.04,8.0,0.63,26.46,40.9,0.18,4.9,261,41.801995,2.3489839
35,41.802046,2.348997,1188.7,1.8,5.82,6.0,0.97,17.18,42.7,0.19,5.0,261,41.802035,2.3490127
36,41.802092,2.348974,1190.4,1.7,5.46,7.0,0.78,21.37,44.4,0.19,5.12,261,41.802054,2.3490266
37,41.802139,2.349011,1192.2,1.8,6.06,7.0,0.87,19.16,46.2,0.2,5.23,261,41.802102,2.3490618
38,41.80218,2.349039,1193.9,1.7,5.11,6.0,0.85,19.61,47.9,0.21,5.33,261,41.802132,2.3490874
39,41.802207,2.349096,1195.4,1.5,5.61,6.0,0.94,17.73,49.4,0.21,5.43,261,41.802174,2.3491293
40,41.802241,2.349142,1196.6,1.2,5.37,7.0,0.77,21.65,50.6,0.22,5.55,261,41.802214,2.3491692
41,41.802253,2.349207,1197.7,1.1,5.56,11.0,0.51,32.68,51.7,0.22,5.73,261,41.802252,2.3492076
42,41.802288,2.349256,1198.8,1.1,5.63,5.0,1.13,14.75,52.8,0.23,5.82,261,41.802294,2.3492495
43,41.802312,2.349322,1200.4,1.6,6.1,7.0,0.87,19.16,54.4,0.23,5.93,261,41.802338,2.3492919
44,41.802323,2.349399,1202.1,1.7,6.51,3.0,2.17,7.68,56.1,0.24,5.98,261,41.802383,2.3493306
45,41.802364,2.349436,1203.7,1.6,5.49,8.0,0.69,24.15,57.7,0.25,6.12,261,41.80243,2.3493954
46,41.802376,2.349497,1205.1,1.4,5.24,5.0,1.05,15.87,59.1,0.25,6.2,261,41.802461,2.349445
47,41.802421,2.349524,1206.6,1.5,5.48,8.0,0.68,24.51,60.6,0.26,6.33,261,41.802485,2.3494847
48,41.80246,2.349556,1208.2,1.6,5.08,5.0,1.02,16.34,62.2,0.26,6.42,261,41.80251,2.3495253
49,41.802498,2.349597,1209.8,1.6,5.42,4.0,1.36,12.25,63.8,0.27,6.48,261,41.802535,2.3495824
50,41.802542,2.349637,1211.4,1.6,5.91,6.0,0.98,17.01,65.4,0.27,6.58,261,41.802555,2.349632
51,41.802592,2.349644,1212.7,1.3,5.58,6.0,0.93,17.92,66.7,0.28,6.68,261,41.802564,2.3496552
52,41.802622,2.349696,1214.2,1.5,5.46,5.0,1.09,15.29,68.2,0.28,6.77,261,41.802592,2.3497123
53,41.802654,2.349747,1215.6,1.4,5.53,7.0,0.79,21.1,69.6,0.29,6.88,261,41.802639,2.3497776
54,41.802679,2.349801,1216.9,1.3,5.28,5.0,1.06,15.72,70.9,0.3,6.97,261,41.802681,2.3497972
55,41.802712,2.34985,1218.5,1.6,5.48,10.0,0.55,30.3,72.5,0.3,7.13,261,41.802727,2.349819
