id,lat,lon,elev,elev_diff,dist_diff,time_diff,speed,pace,elap_elev_gain,elap_dist,elap_time,edge_id,osm_lat,osm_lon
1,41.847341,2.389357,821.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679,41.847375,2.3892793
2,41.847314,2.389296,821.3,-0.6,5.89,6.0,0.98,17.01,0.0,0.01,0.1,679,41.847375,2.3892793
3,41.847308,2.389235,821.1,-0.2,5.11,6.0,0.85,19.61,0.0,0.01,0.2,679,41.847375,2.3892793
4,41.847282,2.389179,821.0,-0.1,5.47,5.0,1.09,15.29,0.0,0.02,0.28,679,41.847375,2.3892793
5,41.847263,2.389105,821.0,0.0,6.5,4.0,1.62,10.29,0.0,0.02,0.35,679,41.847394,2.3892633
6,41.847277,2.389037,821.0,0.0,5.86,3.0,1.95,8.55,0.0,0.03,0.4,668,41.847378,2.3888473
7,41.847303,2.388981,820.6,-0.4,5.47,5.0,1.09,15.29,0.0,0.03,0.48,668,41.847378,2.3888473
8,41.847339,2.388922,820.4,-0.2,6.32,6.0,1.05,15.87,0.0,0.04,0.58,668,41.847378,2.3888473
9,41.847372,2.388876,820.3,-0.1,5.29,5.0,1.06,15.72,0.0,0.05,0.67,668,41.847365,2.3888721
10,41.847408,2.388829,820.0,-0.3,5.59,6.0,0.93,17.92,0.0,0.05,0.77,668,41.847408,2.3888478
11,41.84736,2.388801,820.0,0.0,5.82,7.0,0.83,20.08,0.0,0.06,0.88,668,41.847344,2.3888214
12,41.847315,2.388797,819.6,-0.4,5.01,8.0,0.63,26.46,0.0,0.06,1.02,668,41.847314,2.3887993
13,41.847286,2.388741,818.6,-1.0,5.66,66.0,0.09,185.19,0.0,0.07,2.12,668,41.84727,2.3887824
14,41.847248,2.388702,818.5,-0.1,5.32,7.0,0.76,21.93,0.0,0.07,2.23,668,41.847224,2.3887647
15,41.847197,2.388698,818.5,0.0,5.67,7.0,0.81,20.58,0.0,0.08,2.35,668,41.847187,2.3887507
16,41.847163,2.388739,818.1,-0.4,5.08,13.0,0.39,42.74,0.0,0.08,2.57,668,41.847163,2.38875
17,41.847101,2.38874,817.5,-0.6,6.89,5.0,1.38,12.08,0.0,0.09,2.65,668,41.847101,2.3887483
18,41.847041,2.388753,816.6,-0.9,6.75,3.0,2.25,7.41,0.0,0.1,2.7,668,41.847041,2.3887466
19,41.846999,2.388777,816.2,-0.4,5.07,3.0,1.69,9.86,0.0,0.1,2.75,668,41.846972,2.388761
20,41.846945,2.388787,815.7,-0.5,6.06,4.0,1.52,10.96,0.0,0.11,2.82,668,41.846954,2.3887921
21,41.846898,2.388799,814.9,-0.8,5.31,4.0,1.33,12.53,0.0,0.11,2.88,659,41.846898,2.3888068
22,41.846852,2.388788,814.2,-0.7,5.19,6.0,0.87,19.16,0.0,0.12,2.98,659,41.846852,2.3888074
23,41.846801,2.388791,812.2,-2.0,5.67,11.0,0.52,32.05,0.0,0.13,3.17,659,41.846801,2.388808
24,41.846757,2.388778,812.1,-0.1,5.0,5.0,1.0,16.67,0.0,0.13,3.25,659,41.846748,2.38879
25,41.846713,2.388745,811.0,-1.1,5.6,6.0,0.93,17.92,0.0,0.14,3.35,659,41.846704,2.3887576
26,41.846665,2.388737,809.6,-1.4,5.37,5.0,1.07,15.58,0.0,0.14,3.43,659,41.846665,2.3887492
27,41.846609,2.388741,808.8,-0.8,6.23,6.0,1.04,16.03,0.0,0.15,3.53,659,41.846609,2.388747
28,41.846559,2.388725,807.7,-1.1,5.71,5.0,1.14,14.62,0.0,0.15,3.62,659,41.846558,2.388745
29,41.846513,2.388728,806.9,-0.8,5.12,5.0,1.02,16.34,0.0,0.16,3.7,659,41.846512,2.3887432
30,41.84649,2.388665,804.9,-2.0,5.82,8.0,0.73,22.83,0.0,0.16,3.83,651,41.846477,2.3886592
31,41.846486,2.388597,804.4,-0.5,5.66,5.0,1.13,14.75,0.0,0.17,3.92,651,41.846477,2.3886592
32,41.84649,2.388523,804.0,-0.4,6.16,5.0,1.23,13.55,0.0,0.18,4.0,651,41.846477,2.3886592
33,41.846493,2.388458,803.7,-0.3,5.41,6.0,0.9,18.52,0.0,0.18,4.1,651,41.846477,2.3886592
34,41.846505,2.3884,803.5,-0.2,5.0,6.0,0.83,20.08,0.0,0.19,4.2,651,41.846477,2.3886592
35,41.846498,2.38834,803.3,-0.2,5.04,7.0,0.72,23.15,0.0,0.19,4.32,651,41.846477,2.3886592
36,41.846498,2.388277,802.5,-0.8,5.23,6.0,0.87,19.16,0.0,0.2,4.42,664,41.846857,2.3881637
37,41.846507,2.388212,801.9,-0.6,5.49,5.0,1.1,15.15,0.0,0.2,4.5,664,41.846857,2.3881637
38,41.846517,2.388146,801.1,-0.8,5.59,5.0,1.12,14.88,0.0,0.21,4.58,664,41.846857,2.3881637
39,41.846501,2.388079,800.8,-0.3,5.84,5.0,1.17,14.25,0.0,0.21,4.67,664,41.846857,2.3881637
40,41.846486,2.388009,800.2,-0.6,6.05,5.0,1.21,13.77,0.0,0.22,4.75,664,41.846857,2.3881637
41,41.846481,2.387941,799.5,-0.7,5.67,5.0,1.13,14.75,0.0,0.22,4.83,654,41.846455,2.3875632
42,41.84647,2.38788,798.8,-0.7,5.21,4.0,1.3,12.82,0.0,0.23,4.9,654,41.846455,2.3875632
43,41.846465,2.387808,797.9,-0.9,6.01,5.0,1.2,13.89,0.0,0.24,4.98,654,41.846455,2.3875632
44,41.846458,2.387742,797.5,-0.4,5.54,5.0,1.11,15.02,0.0,0.24,5.07,654,41.846455,2.3875632
45,41.846455,2.387674,796.9,-0.6,5.66,5.0,1.13,14.75,0.0,0.25,5.15,654,41.846455,2.3875632
46,41.846438,2.387616,796.3,-0.6,5.17,5.0,1.03,16.18,0.0,0.25,5.23,657,41.846451,2.3875623
47,41.846399,2.387576,795.6,-0.7,5.46,8.0,0.68,24.51,0.0,0.26,5.37,657,41.846405,2.387551
48,41.84635,2.387557,795.3,-0.3,5.67,5.0,1.13,14.75,0.0,0.26,5.45,657,41.846355,2.3875386
49,41.846301,2.387538,795.0,-0.3,5.67,5.0,1.13,14.75,0.0,0.27,5.53,657,41.846304,2.3875261
50,41.846254,2.387542,794.7,-0.3,5.23,5.0,1.05,15.87,0.0,0.27,5.62,657,41.846251,2.3875354
51,41.846206,2.38756,794.4,-0.3,5.54,5.0,1.11,15.02,0.0,0.28,5.7,657,41.846205,2.3875574
52,41.846167,2.387614,793.6,-0.8,6.24,5.0,1.25,13.33,0.0,0.29,5.78,657,41.84615,2.3876041
53,41.846137,2.387663,793.5,-0.1,5.26,4.0,1.32,12.63,0.0,0.29,5.85,657,41.846121,2.3876541
54,41.846111,2.387724,793.2,-0.3,5.83,5.0,1.17,14.25,0.0,0.3,5.93,657,41.846089,2.3877115
55,41.846092,2.387786,792.7,-0.5,5.56,4.0,1.39,11.99,0.0,0.3,6.0,657,41.846057,2.3877761
56,41.846073,2.387845,791.8,-0.9,5.34,4.0,1.34,12.44,0.0,0.31,6.07,657,41.84604,2.3878357
57,41.846055,2.387917,791.6,-0.2,6.3,5.0,1.26,13.23,0.0,0.31,6.15,657,41.84602,2.387907
58,41.846041,2.387978,791.6,0.0,5.3,4.0,1.32,12.63,0.0,0.32,6.22,657,41.846003,2.3879672
59,41.846031,2.388045,791.7,0.1,5.67,4.0,1.42,11.74,0.1,0.33,6.28,657,41.845992,2.3880415
60,41.846024,2.388108,792.2,0.5,5.29,5.0,1.06,15.72,0.6,0.33,6.37,657,41.845986,2.3881046
61,41.846016,2.388179,792.9,0.7,5.96,5.0,1.19,14.01,1.3,0.34,6.45,657,41.84598,2.3881757
62,41.846009,2.388242,793.0,0.1,5.29,4.0,1.32,12.63,1.4,0.34,6.52,657,41.845974,2.3882388
63,41.846001,2.388314,793.1,0.1,6.05,5.0,1.21,13.77,1.5,0.35,6.6,657,41.845972,2.3883132
64,41.846,2.388382,793.1,0.0,5.65,5.0,1.13,14.75,1.5,0.35,6.68,657,41.84597,2.3883812
65,41.845992,2.388444,792.8,-0.3,5.23,4.0,1.31,12.72,1.5,0.36,6.75,657,41.845968,2.3884434
66,41.845991,2.388517,792.3,-0.5,6.06,4.0,1.52,10.96,1.5,0.37,6.82,657,41.845966,2.3885164
67,41.845981,2.388582,792.3,0.0,5.51,4.0,1.38,12.08,1.5,0.37,6.88,657,41.845965,2.3885816
68,41.845979,2.388658,792.3,0.0,6.32,5.0,1.26,13.23,1.5,0.38,6.97,647,41.845951,2.3886525
69,41.845958,2.388722,792.4,0.1,5.8,4.0,1.45,11.49,1.6,0.38,7.03,647,41.845938,2.3887181
70,41.845947,2.388782,792.4,0.0,5.13,4.0,1.28,13.02,1.6,0.39,7.1,647,41.845926,2.3887779
71,41.845931,2.38884,792.4,0.0,5.13,4.0,1.28,13.02,1.6,0.39,7.17,647,41.845915,2.3888368
72,41.845917,2.388912,792.1,-0.3,6.18,5.0,1.24,13.44,1.6,0.4,7.25,647,41.845894,2.3889028
73,41.845889,2.388976,791.6,-0.5,6.16,5.0,1.23,13.55,1.6,0.41,7.33,647,41.845868,2.3889677
74,41.84586,2.389032,791.4,-0.2,5.66,4.0,1.42,11.74,1.6,0.41,7.4,647,41.845845,2.389026
75,41.845841,2.38909,791.4,0.0,5.26,4.0,1.32,12.63,1.6,0.42,7.47,647,41.845822,2.3890825
76,41.845816,2.389143,791.2,-0.2,5.2,4.0,1.3,12.82,1.6,0.42,7.53,647,41.845801,2.3891369
