id,lat,lon,elev,elev_diff,dist_diff,time_diff,speed,pace,elap_elev_gain,elap_dist,elap_time,edge_id,osm_lat,osm_lon
1,41.800634,2.347387,1144.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257,41.800885,2.3474961
2,41.801161,2.347531,1144.8,0.2,59.74,1.0,59.74,0.28,0.2,0.06,0.02,257,41.801103,2.3476463
3,41.801116,2.347568,1144.8,0.0,5.87,2.0,2.94,5.67,0.2,0.07,0.05,257,41.801084,2.3476369
4,41.801127,2.347588,1145.2,0.4,2.06,1.0,2.06,8.09,0.6,0.07,0.07,257,41.801099,2.3476442
5,41.801145,2.347606,1145.4,0.2,2.5,5.0,0.5,33.33,0.8,0.07,0.15,257,41.80111,2.3476497
6,41.801153,2.347623,1146.0,0.6,1.67,4.0,0.42,39.68,1.4,0.07,0.22,257,41.80111,2.3476497
7,41.801148,2.347632,1146.0,0.0,0.93,6.0,0.16,104.17,1.4,0.07,0.32,257,41.80111,2.3476497
8,41.801145,2.347648,1146.4,0.4,1.37,6.0,0.23,72.46,1.8,0.07,0.42,257,41.801114,2.3476601
9,41.801147,2.347672,1146.4,0.0,2.01,2.0,1.0,16.67,1.8,0.08,0.45,257,41.801122,2.3476817
10,41.801178,2.347733,1147.4,1.0,6.13,8.0,0.77,21.65,2.8,0.08,0.58,257,41.801147,2.3477452
11,41.801196,2.347782,1148.4,1.0,4.54,5.0,0.91,18.32,3.8,0.09,0.67,257,41.801165,2.3477938
12,41.801219,2.347823,1149.2,0.8,4.26,4.0,1.06,15.72,4.6,0.09,0.73,257,41.801182,2.3478372
13,41.801221,2.347847,1149.6,0.4,2.01,2.0,1.0,16.67,5.0,0.09,0.77,257,41.801186,2.3478459
14,41.801224,2.347895,1150.4,0.8,4.0,4.0,1.0,16.67,5.8,0.1,0.83,257,41.801176,2.3478828
15,41.801201,2.347928,1150.8,0.4,3.75,3.0,1.25,13.33,6.2,0.1,0.88,257,41.801167,2.3479193
16,41.801196,2.348018,1151.6,0.8,7.5,8.0,0.94,17.73,7.0,0.11,1.02,258,41.801162,2.3480287
