id,lat,lon,elev,elev_diff,dist_diff,time_diff,speed,pace,elap_elev_gain,elap_dist,elap_time,edge_id,osm_lat,osm_lon
1,41.846015,2.375162,727.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947,41.846011,2.375161
2,41.846028,2.375104,727.5,0.0,5.03,13.0,0.39,42.74,0.0,0.01,0.22,947,41.846024,2.3751031
3,41.846045,2.375036,727.5,0.0,5.95,6.0,0.99,16.84,0.0,0.01,0.32,947,41.84604,2.3750349
4,41.84605,2.374973,727.5,0.0,5.26,3.0,1.75,9.52,0.0,0.02,0.37,947,41.846055,2.3749741
5,41.846054,2.374913,727.5,0.0,5.0,3.0,1.67,9.98,0.0,0.02,0.42,947,41.846055,2.374913
6,41.846051,2.374851,727.5,0.0,5.16,2.0,2.58,6.46,0.0,0.03,0.45,947,41.846054,2.3748509
7,41.846037,2.374778,727.5,0.0,6.26,4.0,1.56,10.68,0.0,0.03,0.52,947,41.846053,2.3747777
8,41.84601,2.374713,727.5,0.0,6.18,3.0,2.06,8.09,0.0,0.04,0.57,947,41.846025,2.3746939
9,41.845973,2.374665,727.5,0.0,5.73,4.0,1.43,11.66,0.0,0.04,0.63,947,41.845979,2.3746577
10,41.845933,2.374631,727.5,0.0,5.26,4.0,1.32,12.63,0.0,0.05,0.7,947,41.845937,2.3746253
11,41.845894,2.374598,727.5,0.0,5.13,4.0,1.28,13.02,0.0,0.05,0.77,947,41.845897,2.3745938
12,41.845835,2.37457,727.5,0.0,6.95,6.0,1.16,14.37,0.0,0.06,0.87,948,41.845864,2.3745499
13,41.845795,2.37453,727.5,0.0,5.55,10.0,0.55,30.3,0.0,0.07,1.03,948,41.845832,2.3745043
14,41.845754,2.374464,728.0,0.5,7.13,5.0,1.43,11.66,0.5,0.07,1.12,948,41.845787,2.3744407
15,41.845731,2.374392,728.5,0.5,6.5,5.0,1.3,12.82,1.0,0.08,1.2,948,41.845759,2.3743918
16,41.845745,2.374332,728.7,0.2,5.22,4.0,1.3,12.82,1.2,0.09,1.27,948,41.845759,2.3743319
17,41.845761,2.374267,729.0,0.3,5.68,5.0,1.14,14.62,1.5,0.09,1.35,948,41.845759,2.374267
18,41.845718,2.374221,729.1,0.1,6.12,6.0,1.02,16.34,1.6,0.1,1.45,948,41.845758,2.3742208
19,41.845665,2.374212,728.6,-0.5,5.93,5.0,1.19,14.01,1.6,0.1,1.53,948,41.845758,2.3742115
20,41.845609,2.374196,728.2,-0.4,6.36,5.0,1.27,13.12,1.6,0.11,1.62,948,41.845758,2.3741952
