id,lat,lon,elev,elev_diff,dist_diff,time_diff,speed,pace,elap_elev_gain,elap_dist,elap_time,edge_id,osm_lat,osm_lon
1,41.804272,2.41793,1156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439,41.804274,2.4179303
2,41.804318,2.417912,1156,0.0,5.32,6.0,0.89,18.73,0.0,0.01,0.1,439,41.804278,2.4179055
3,41.804348,2.417857,1156,0.0,5.66,8.0,0.71,23.47,0.0,0.01,0.23,439,41.804291,2.4178439
4,41.804351,2.41779,1156,0.0,5.58,4.0,1.4,11.9,0.0,0.02,0.3,439,41.804305,2.417782
5,41.804365,2.417724,1156,0.0,5.7,4.0,1.42,11.74,0.0,0.02,0.37,439,41.804317,2.4177143
6,41.804376,2.417663,1156,0.0,5.21,5.0,1.04,16.03,0.0,0.03,0.45,439,41.804329,2.4176535
7,41.804375,2.417599,1156,0.0,5.32,5.0,1.06,15.72,0.0,0.03,0.53,439,41.804337,2.4175958
8,41.804366,2.417534,1156,0.0,5.49,6.0,0.92,18.12,0.0,0.04,0.63,439,41.804343,2.417532
9,41.804371,2.417462,1156,0.0,6.01,5.0,1.2,13.89,0.0,0.04,0.72,439,41.804345,2.4174621
10,41.804364,2.417398,1156,0.0,5.38,3.0,1.79,9.31,0.0,0.05,0.77,439,41.804345,2.4173981
11,41.804353,2.417326,1156,0.0,6.11,3.0,2.04,8.17,0.0,0.06,0.82,439,41.804339,2.4173286
12,41.804334,2.417263,1156,0.0,5.64,3.0,1.88,8.87,0.0,0.06,0.87,439,41.804327,2.4172643
13,41.80432,2.417142,1156,0.0,10.18,7.0,1.45,11.49,0.0,0.07,0.98,439,41.804305,2.4171435
14,41.80431,2.417053,1156,0.0,7.48,6.0,1.25,13.33,0.0,0.08,1.08,439,41.804296,2.4170544
15,41.804306,2.416951,1156,0.0,8.49,6.0,1.42,11.74,0.0,0.09,1.18,439,41.804286,2.416953
16,41.804304,2.416861,1156,0.0,7.48,7.0,1.07,15.58,0.0,0.1,1.3,439,41.804277,2.4168637
17,41.804291,2.416775,1156,0.0,7.29,6.0,1.22,13.66,0.0,0.1,1.4,439,41.804264,2.416779
18,41.804298,2.416695,1156,0.0,6.69,6.0,1.12,14.88,0.0,0.11,1.5,439,41.804253,2.4166921
19,41.80434,2.416613,1156,0.0,8.26,12.0,0.69,24.15,0.0,0.12,1.7,439,41.80429,2.4165644
20,41.804371,2.416569,1156,0.0,5.02,7.0,0.72,23.15,0.0,0.12,1.82,439,41.804349,2.4165136
21,41.804417,2.41656,1156,0.0,5.16,7.0,0.74,22.52,0.0,0.13,1.93,439,41.804392,2.4164968
22,41.804461,2.416542,1156,0.0,5.11,7.0,0.73,22.83,0.0,0.13,2.05,439,41.804456,2.4164851
23,41.804518,2.416538,1156,0.0,6.34,6.0,1.06,15.72,0.0,0.14,2.15,439,41.804496,2.4164761
24,41.804589,2.416498,1156,0.0,8.56,8.0,1.07,15.58,0.0,0.15,2.28,439,41.80455,2.4164564
25,41.804609,2.416443,1150,-6.0,5.08,3.0,1.69,9.86,0.0,0.15,2.33,439,41.804572,2.4164206
26,41.804623,2.416342,1151,1.0,8.54,7.0,1.22,13.66,1.0,0.16,2.45,439,41.804601,2.416337
