id,lat,lon,elev,elev_diff,dist_diff,time_diff,speed,pace,elap_elev_gain,elap_dist,elap_time,edge_id,osm_lat,osm_lon
1,41.800931,2.347623,1140.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505,41.800946,2.347621
2,41.800953,2.347684,1141.5,1.1,5.63,14.0,0.4,41.67,1.1,0.01,0.23,505,41.800955,2.3476838
3,41.80094,2.347751,1142.3,0.8,5.75,5.0,1.15,14.49,1.9,0.01,0.32,505,41.800963,2.3477479
4,41.800936,2.347812,1142.1,-0.2,5.09,5.0,1.02,16.34,1.9,0.02,0.4,505,41.800965,2.3478131
5,41.800978,2.347759,1141.9,-0.2,6.42,9.0,0.71,23.47,1.9,0.02,0.55,257,41.800974,2.3477569
6,41.801,2.347692,1142.1,0.2,6.08,6.0,1.01,16.5,2.1,0.03,0.65,257,41.801004,2.3476954
7,41.801039,2.347641,1142.3,0.2,6.06,7.0,0.87,19.16,2.3,0.04,0.77,257,41.801043,2.3476526
8,41.801095,2.34764,1142.3,0.0,6.22,7.0,0.89,18.73,2.3,0.04,0.88,257,41.801094,2.3476419
9,41.801135,2.347683,1144.3,2.0,5.7,5.0,1.14,14.62,4.3,0.05,0.97,257,41.801124,2.3476872
10,41.801158,2.347736,1145.2,0.9,5.09,4.0,1.27,13.12,5.2,0.05,1.03,257,41.801145,2.347741
11,41.80118,2.347789,1146.6,1.4,5.04,5.0,1.01,16.5,6.6,0.06,1.12,257,41.801166,2.3477945
12,41.801212,2.34784,1147.4,0.8,5.53,6.0,0.92,18.12,7.4,0.06,1.22,257,41.801186,2.3478459
13,41.801174,2.347891,1148.2,0.8,5.98,14.0,0.43,38.76,8.2,0.07,1.45,257,41.801174,2.347891
14,41.801155,2.347953,1149.7,1.5,5.57,12.0,0.46,36.23,9.7,0.07,1.65,257,41.801158,2.3479538
15,41.801166,2.348017,1151.3,1.6,5.46,11.0,0.5,33.33,11.3,0.08,1.83,258,41.801159,2.3480192
16,41.80118,2.348084,1152.2,0.9,5.78,7.0,0.83,20.08,12.2,0.09,1.95,258,41.801175,2.348085
17,41.801227,2.348126,1152.6,0.4,6.28,7.0,0.9,18.52,12.6,0.09,2.07,258,41.801216,2.3481365
18,41.801263,2.348176,1153.6,1.0,5.77,6.0,0.96,17.36,13.6,0.1,2.17,258,41.801246,2.3481801
19,41.801285,2.348246,1155.1,1.5,6.31,5.0,1.26,13.23,15.1,0.1,2.25,258,41.801263,2.3482513
20,41.801293,2.348311,1156.5,1.4,5.47,5.0,1.09,15.29,16.5,0.11,2.33,258,41.801278,2.3483146
21,41.801319,2.348377,1158.6,2.1,6.2,5.0,1.24,13.44,18.6,0.12,2.42,258,41.801306,2.3483834
22,41.801328,2.348446,1159.2,0.6,5.82,7.0,0.83,20.08,19.2,0.12,2.53,258,41.801336,2.3484419
23,41.801368,2.348497,1161.2,2.0,6.14,4.0,1.54,10.82,21.2,0.13,2.6,258,41.80134,2.3484979
24,41.801384,2.348554,1162.1,0.9,5.06,5.0,1.01,16.5,22.1,0.13,2.68,258,41.801413,2.3485577
25,41.801405,2.348611,1163.5,1.4,5.28,10.0,0.53,31.45,23.5,0.14,2.85,258,41.801406,2.3486111
26,41.801454,2.348644,1164.6,1.1,6.09,4.0,1.52,10.96,24.6,0.14,2.92,2243,41.801451,2.3486428
27,41.801497,2.348621,1166.6,2.0,5.14,5.0,1.03,16.18,26.6,0.15,3.0,2243,41.801465,2.3486081
28,41.801507,2.348557,1168.4,1.8,5.43,6.0,0.9,18.52,28.4,0.15,3.1,2243,41.801489,2.3485495
29,41.801537,2.348508,1168.8,0.4,5.26,6.0,0.88,18.94,28.8,0.16,3.2,261,41.801538,2.3485157
30,41.801594,2.348516,1169.1,0.3,6.37,7.0,0.91,18.32,29.1,0.17,3.32,261,41.801572,2.3485308
31,41.801611,2.348579,1169.9,0.8,5.57,7.0,0.8,20.83,29.9,0.17,3.43,261,41.801607,2.3485817
32,41.80165,2.34862,1171.1,1.2,5.51,6.0,0.92,18.12,31.1,0.18,3.53,261,41.801633,2.3486264
33,41.801695,2.348647,1172.9,1.8,5.48,5.0,1.1,15.15,32.9,0.18,3.62,261,41.801647,2.3486648
34,41.801677,2.348708,1174.9,2.0,5.45,9.0,0.61,27.32,34.9,0.19,3.77,261,41.801663,2.3487121
35,41.801686,2.34879,1176.2,1.3,6.89,8.0,0.86,19.38,36.2,0.19,3.9,261,41.801687,2.3487898
36,41.80171,2.348855,1177.6,1.4,6.02,5.0,1.2,13.89,37.6,0.2,3.98,261,41.801716,2.3488512
37,41.801731,2.348933,1180.6,3.0,6.89,10.0,0.69,24.15,40.6,0.21,4.15,261,41.801759,2.348914
38,41.80178,2.348925,1181.4,0.8,5.48,5.0,1.1,15.15,41.4,0.21,4.23,261,41.801771,2.3489315
39,41.801833,2.348964,1183.2,1.8,6.72,9.0,0.75,22.22,43.2,0.22,4.38,261,41.801831,2.3489679
40,41.801879,2.348961,1184.4,1.2,5.12,6.0,0.85,19.61,44.4,0.23,4.48,261,41.801864,2.348987
41,41.801916,2.348925,1185.7,1.3,5.08,4.0,1.27,13.12,45.7,0.23,4.55,261,41.801928,2.3489955
42,41.801955,2.348877,1187.8,2.1,5.89,7.0,0.84,19.84,47.8,0.24,4.67,261,41.801974,2.3489875
43,41.802022,2.348886,1189.6,1.8,7.48,9.0,0.83,20.08,49.6,0.24,4.82,261,41.801995,2.3489839
44,41.802068,2.348884,1190.5,0.9,5.11,5.0,1.02,16.34,50.5,0.25,4.9,261,41.801995,2.3489839
45,41.802108,2.34892,1192.2,1.7,5.36,9.0,0.6,27.78,52.2,0.25,5.05,261,41.802038,2.3490155
46,41.802132,2.34898,1193.7,1.5,5.65,6.0,0.94,17.73,53.7,0.26,5.15,261,41.802083,2.3490477
47,41.80216,2.349036,1195.0,1.3,5.6,6.0,0.93,17.92,55.0,0.27,5.25,261,41.80212,2.3490759
48,41.802189,2.349086,1196.3,1.3,5.26,5.0,1.05,15.87,56.3,0.27,5.33,261,41.80216,2.3491153
49,41.802186,2.349149,1197.4,1.1,5.25,7.0,0.75,22.22,57.4,0.28,5.45,261,41.80219,2.3491452
50,41.802218,2.349212,1198.4,1.0,6.33,7.0,0.9,18.52,58.4,0.28,5.57,261,41.802237,2.3491926
51,41.80227,2.349245,1199.8,1.4,6.39,5.0,1.28,13.02,59.8,0.29,5.65,261,41.80228,2.349235
52,41.802324,2.349289,1202.7,2.9,7.02,5.0,1.4,11.9,62.7,0.3,5.73,261,41.802329,2.3492836
53,41.802357,2.349334,1204.1,1.4,5.24,5.0,1.05,15.87,64.1,0.3,5.82,261,41.80237,2.3493193
54,41.802362,2.349409,1205.1,1.0,6.26,7.0,0.89,18.73,65.1,0.31,5.93,261,41.802418,2.3493749
55,41.802407,2.349429,1206.2,1.1,5.27,5.0,1.05,15.87,66.2,0.31,6.02,261,41.802439,2.3494095
56,41.802396,2.349515,1207.9,1.7,7.25,7.0,1.04,16.03,67.9,0.32,6.13,261,41.802474,2.349467
57,41.802432,2.349559,1208.7,0.8,5.42,5.0,1.08,15.43,68.7,0.33,6.22,261,41.802504,2.349515
58,41.80249,2.349589,1211.5,2.8,6.91,5.0,1.38,12.08,71.5,0.33,6.3,261,41.802531,2.3495727
59,41.802534,2.349608,1212.2,0.7,5.14,5.0,1.03,16.18,72.2,0.34,6.38,261,41.802544,2.3496042
60,41.802571,2.349657,1214.1,1.9,5.79,5.0,1.16,14.37,74.1,0.34,6.47,261,41.802565,2.3496592
61,41.802612,2.349695,1214.7,0.6,5.54,5.0,1.11,15.02,74.7,0.35,6.55,261,41.80259,2.3497073
62,41.802626,2.349765,1215.7,1.0,6.02,9.0,0.67,24.88,75.7,0.35,6.7,261,41.802623,2.3497669
63,41.802659,2.349821,1216.9,1.2,5.92,5.0,1.18,14.12,76.9,0.36,6.78,261,41.802672,2.3497931
64,41.802695,2.349869,1218.9,2.0,5.65,5.0,1.13,14.75,78.9,0.37,6.87,261,41.80272,2.3498159
65,41.802743,2.349879,1220.8,1.9,5.4,6.0,0.9,18.52,80.8,0.37,6.97,261,41.802763,2.3498363
66,41.802789,2.349888,1221.9,1.1,5.16,4.0,1.29,12.92,81.9,0.38,7.03,261,41.802805,2.3498783
67,41.802828,2.349923,1223.2,1.3,5.22,7.0,0.75,22.22,83.2,0.38,7.15,261,41.802831,2.3499211
68,41.802862,2.349974,1224.5,1.3,5.68,66.0,0.09,185.19,84.5,0.39,8.25,261,41.802863,2.3499734
69,41.802911,2.350008,1225.7,1.2,6.13,5.0,1.23,13.55,85.7,0.39,8.33,261,41.802892,2.3500199
70,41.80295,2.350055,1226.9,1.2,5.83,6.0,0.97,17.18,86.9,0.4,8.43,261,41.802923,2.3500715
71,41.802987,2.350099,1227.6,0.7,5.5,6.0,0.92,18.12,87.6,0.4,8.53,261,41.802953,2.35012
72,41.803021,2.350151,1228.4,0.8,5.74,8.0,0.72,23.15,88.4,0.41,8.67,261,41.802983,2.3501719
73,41.803072,2.350172,1229.6,1.2,5.93,7.0,0.85,19.61,89.6,0.42,8.78,261,41.803003,2.3502095
74,41.803125,2.350189,1231.0,1.4,6.05,6.0,1.01,16.5,91.0,0.42,8.88,261,41.803023,2.3502449
75,41.803168,2.350222,1232.6,1.6,5.51,5.0,1.1,15.15,92.6,0.43,8.97,261,41.803046,2.3502884
76,41.803209,2.350249,1234.2,1.6,5.08,4.0,1.27,13.12,94.2,0.43,9.03,261,41.803077,2.3503383
77,41.803237,2.350301,1235.4,1.2,5.32,7.0,0.76,21.93,95.4,0.44,9.15,261,41.80311,2.350387
78,41.803253,2.350364,1236.4,1.0,5.53,6.0,0.92,18.12,96.4,0.44,9.25,261,41.803144,2.3504377
79,41.803271,2.350423,1237.7,1.3,5.3,4.0,1.32,12.63,97.7,0.45,9.32,261,41.803219,2.3505076
80,41.803307,2.35048,1239.2,1.5,6.2,5.0,1.24,13.44,99.2,0.46,9.4,261,41.803271,2.3505393
81,41.803352,2.350521,1240.3,1.1,6.05,6.0,1.01,16.5,100.3,0.46,9.5,261,41.803322,2.3505706
82,41.803386,2.350586,1241.2,0.9,6.59,7.0,0.94,17.73,101.2,0.47,9.62,261,41.803369,2.3506064
