id,lat,lon,elev,elev_diff,dist_diff,time_diff,speed,pace,elap_elev_gain,elap_dist,elap_time,edge_id,osm_lat,osm_lon
1,41.803563,2.346406,1123.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409,41.803529,2.3463939
2,41.803548,2.346465,1124.9,1.2,5.18,17.0,0.3,55.56,1.2,0.01,0.28,409,41.803509,2.346451
3,41.803507,2.34651,1125.4,0.5,5.89,7.0,0.84,19.84,1.7,0.01,0.4,409,41.80349,2.3465039
4,41.803473,2.346564,1126.1,0.7,5.87,6.0,0.98,17.01,2.4,0.02,0.5,409,41.803468,2.3465623
5,41.803448,2.346617,1126.9,0.8,5.21,27.0,0.19,87.72,3.2,0.02,0.95,409,41.803448,2.3466172
6,41.803439,2.34668,1128.2,1.3,5.33,3.0,1.78,9.36,4.5,0.03,1.0,409,41.803427,2.3466756
7,41.803416,2.346734,1129.0,0.8,5.16,3.0,1.72,9.69,5.3,0.03,1.05,409,41.803407,2.3467307
8,41.803397,2.346811,1130.4,1.4,6.74,3.0,2.25,7.41,6.7,0.04,1.1,409,41.80338,2.3468047
9,41.803379,2.346873,1131.4,1.0,5.53,5.0,1.11,15.02,7.7,0.04,1.18,409,41.803358,2.3468652
10,41.80336,2.346929,1132.2,0.8,5.11,13.0,0.39,42.74,8.5,0.05,1.4,409,41.803337,2.3469207
11,41.803326,2.346971,1132.6,0.4,5.14,28.0,0.18,92.59,8.9,0.06,1.87,409,41.80332,2.3469687
12,41.803287,2.347013,1133.6,1.0,5.56,3.0,1.85,9.01,9.9,0.06,1.92,409,41.803301,2.3470192
13,41.803244,2.347051,1134.4,0.8,5.73,3.0,1.91,8.73,10.7,0.07,1.97,409,41.803279,2.3470668
14,41.803184,2.347083,1135.0,0.6,7.18,3.0,2.39,6.97,11.3,0.07,2.02,409,41.80323,2.3471308
15,41.803134,2.347099,1135.2,0.2,5.71,2.0,2.86,5.83,11.5,0.08,2.05,409,41.803175,2.3471716
16,41.803086,2.347113,1135.4,0.2,5.46,4.0,1.36,12.25,11.7,0.08,2.12,409,41.803088,2.3471927
17,41.803033,2.347119,1135.9,0.5,5.91,5.0,1.18,14.12,12.2,0.09,2.2,409,41.802994,2.3471584
18,41.802987,2.34711,1136.8,0.9,5.16,7.0,0.74,22.52,13.1,0.1,2.32,409,41.802966,2.3471252
19,41.802958,2.347061,1136.2,-0.6,5.19,10.0,0.52,32.05,13.1,0.1,2.48,409,41.80294,2.3470666
20,41.802933,2.34701,1135.4,-0.8,5.07,9.0,0.56,29.76,13.1,0.11,2.63,409,41.802924,2.3470125
21,41.802905,2.346957,1134.6,-0.8,5.39,4.0,1.35,12.35,13.1,0.11,2.7,409,41.802909,2.346956
22,41.802877,2.346908,1133.8,-0.8,5.12,7.0,0.73,22.83,13.1,0.12,2.82,409,41.802888,2.3469036
23,41.802844,2.346857,1133.0,-0.8,5.6,5.0,1.12,14.88,13.1,0.12,2.9,409,41.802861,2.3468481
24,41.802813,2.346807,1132.0,-1.0,5.4,7.0,0.77,21.65,13.1,0.13,3.02,409,41.802828,2.3467965
25,41.802779,2.346762,1131.1,-0.9,5.31,5.0,1.06,15.72,13.1,0.13,3.1,409,41.802793,2.3467493
26,41.802742,2.346721,1130.7,-0.4,5.34,9.0,0.59,28.25,13.1,0.14,3.25,409,41.802757,2.346708
27,41.802689,2.346692,1131.1,0.4,6.36,3.0,2.12,7.86,13.5,0.14,3.3,409,41.802705,2.3466662
28,41.80264,2.346675,1131.7,0.6,5.62,4.0,1.4,11.9,14.1,0.15,3.37,409,41.802643,2.3466389
29,41.802583,2.346667,1132.9,1.2,6.37,4.0,1.59,10.48,15.3,0.16,3.43,409,41.802581,2.3466381
30,41.802537,2.346674,1134.3,1.4,5.14,5.0,1.03,16.18,16.7,0.16,3.52,409,41.802533,2.3466441
31,41.802483,2.346693,1135.6,1.3,6.2,7.0,0.89,18.73,18.0,0.17,3.63,409,41.802469,2.3466687
32,41.802439,2.346727,1136.1,0.5,5.65,7.0,0.81,20.58,18.5,0.17,3.75,409,41.80242,2.346701
33,41.802394,2.346757,1136.4,0.3,5.59,7.0,0.8,20.83,18.8,0.18,3.87,409,41.802376,2.346737
34,41.802347,2.346791,1136.8,0.4,5.94,6.0,0.99,16.84,19.2,0.19,3.97,409,41.802333,2.3467767
35,41.802304,2.346832,1137.5,0.7,5.87,5.0,1.17,14.25,19.9,0.19,4.05,409,41.80229,2.3468181
36,41.802264,2.346875,1138.4,0.9,5.7,5.0,1.14,14.62,20.8,0.2,4.13,409,41.802248,2.3468589
37,41.802228,2.346912,1139.0,0.6,5.04,9.0,0.56,29.76,21.4,0.2,4.28,409,41.802211,2.3468948
38,41.80219,2.34695,1139.8,0.8,5.27,4.0,1.32,12.63,22.2,0.21,4.35,409,41.802173,2.3469322
39,41.802153,2.346986,1140.6,0.8,5.08,4.0,1.27,13.12,23.0,0.21,4.42,409,41.802136,2.3469682
40,41.802116,2.347023,1141.5,0.9,5.13,6.0,0.86,19.38,23.9,0.22,4.52,409,41.802098,2.3470041
41,41.802067,2.347064,1142.3,0.8,6.42,7.0,0.92,18.12,24.7,0.22,4.63,409,41.802052,2.347048
42,41.802027,2.347099,1142.9,0.6,5.31,5.0,1.06,15.72,25.3,0.23,4.72,409,41.802013,2.3470846
43,41.801986,2.347145,1143.9,1.0,5.95,8.0,0.74,22.52,26.3,0.23,4.85,409,41.801969,2.3471269
44,41.801945,2.347188,1144.8,0.9,5.79,5.0,1.16,14.37,27.2,0.24,4.93,409,41.801931,2.3471991
45,41.801899,2.347234,1145.6,0.8,6.38,6.0,1.06,15.72,28.0,0.25,5.03,6,41.801878,2.3472111
46,41.80186,2.347268,1145.9,0.3,5.17,6.0,0.86,19.38,28.3,0.25,5.13,6,41.80184,2.3472458
47,41.801822,2.347303,1146.3,0.4,5.13,8.0,0.64,26.04,28.7,0.26,5.27,6,41.801803,2.3472776
48,41.801781,2.347344,1146.7,0.4,5.69,5.0,1.14,14.62,29.1,0.26,5.35,6,41.801757,2.3473123
49,41.801739,2.347375,1146.9,0.2,5.33,12.0,0.44,37.88,29.3,0.27,5.55,6,41.80172,2.3473371
50,41.801692,2.347388,1146.5,-0.4,5.33,7.0,0.76,21.93,29.3,0.27,5.67,6,41.801679,2.3473569
