id,lat,lon,elev,elev_diff,dist_diff,time_diff,speed,pace,elap_elev_gain,elap_dist,elap_time,edge_id,osm_lat,osm_lon
1,41.801263,2.347851,1146.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257,41.801186,2.3478459
2,41.801228,2.34789,1146.3,0.0,5.06,15.0,0.34,49.02,0.0,0.01,0.25,257,41.801178,2.3478771
3,41.801174,2.347913,1146.3,0.0,6.29,42.0,0.15,111.11,0.0,0.01,0.95,257,41.801169,2.3479117
4,41.801204,2.34796,1149.9,3.6,5.13,27.0,0.19,87.72,3.6,0.02,1.4,257,41.801159,2.3479486
5,41.80123,2.348021,1149.9,0.0,5.83,6.0,0.97,17.18,3.6,0.02,1.5,258,41.801166,2.3480411
6,41.801258,2.348076,1149.9,0.0,5.53,5.0,1.11,15.02,3.6,0.03,1.58,258,41.801205,2.348125
7,41.801288,2.348125,1149.9,0.0,5.26,7.0,0.75,22.22,3.6,0.03,1.7,258,41.801242,2.3481651
8,41.801296,2.348194,1150.0,0.1,5.8,6.0,0.97,17.18,3.7,0.04,1.8,258,41.801252,2.3482047
9,41.801293,2.348262,1151.2,1.2,5.66,4.0,1.42,11.74,4.9,0.04,1.87,258,41.801267,2.3482683
10,41.801312,2.348318,1153.7,2.5,5.11,4.0,1.28,13.02,7.4,0.05,1.93,258,41.801281,2.3483255
11,41.801326,2.348425,1156.1,2.4,9.03,3.0,3.01,5.54,9.8,0.06,1.98,258,41.801327,2.3484244
12,41.801346,2.348509,1159.4,3.3,7.33,18.0,0.41,40.65,13.1,0.07,2.28,258,41.80134,2.3485092
13,41.801383,2.348571,1159.8,0.4,6.59,4.0,1.65,10.1,13.5,0.07,2.35,258,41.80141,2.3485745
14,41.801431,2.348592,1160.0,0.2,5.61,7.0,0.8,20.83,13.7,0.08,2.47,258,41.801409,2.3485891
15,41.801485,2.34859,1160.8,0.8,6.0,4.0,1.5,11.11,14.5,0.08,2.53,258,41.801474,2.3485856
16,41.801529,2.34857,1162.5,1.7,5.16,5.0,1.03,16.18,16.2,0.09,2.62,258,41.801487,2.3485531
17,41.801539,2.348511,1163.3,0.8,5.03,7.0,0.72,23.15,17.0,0.09,2.73,261,41.801539,2.3485155
18,41.801585,2.348536,1163.3,0.0,5.52,7.0,0.79,21.1,17.0,0.1,2.85,261,41.801579,2.3485403
19,41.801628,2.348561,1163.6,0.3,5.21,6.0,0.87,19.16,17.3,0.11,2.95,261,41.801604,2.3485773
20,41.801661,2.348639,1167.7,4.1,7.45,29.0,0.26,64.1,21.4,0.11,3.43,261,41.80164,2.3486466
21,41.801707,2.348771,1168.9,1.2,12.1,6.0,2.02,8.25,22.6,0.12,3.53,261,41.801683,2.3487782
22,41.801752,2.348851,1169.4,0.5,8.32,39.0,0.21,79.37,23.1,0.13,4.18,261,41.801727,2.348868
23,41.801805,2.348904,1169.5,0.1,7.35,5.0,1.47,11.34,23.2,0.14,4.27,261,41.801784,2.3489407
24,41.801823,2.348978,1169.7,0.2,6.47,4.0,1.62,10.29,23.4,0.15,4.33,261,41.801829,2.348967
25,41.801876,2.348978,1170.0,0.3,5.89,5.0,1.18,14.12,23.7,0.15,4.42,261,41.801869,2.34899
26,41.801926,2.348979,1174.9,4.9,5.55,4.0,1.39,11.99,28.6,0.16,4.48,261,41.801929,2.3489954
27,41.80198,2.348992,1175.7,0.8,6.09,5.0,1.22,13.66,29.4,0.16,4.57,261,41.801979,2.3489867
28,41.802001,2.349057,1177.7,2.0,5.88,4.0,1.47,11.34,31.4,0.17,4.63,261,41.802034,2.3490121
29,41.802047,2.349078,1178.8,1.1,5.4,3.0,1.8,9.26,32.5,0.18,4.68,261,41.802074,2.3490413
30,41.802134,2.349083,1187.6,8.8,9.67,50.0,0.19,87.72,41.3,0.19,5.52,261,41.802131,2.3490863
31,41.802177,2.34918,1187.9,0.3,9.37,2.0,4.68,3.56,41.6,0.19,5.55,261,41.802201,2.3491562
32,41.802225,2.349193,1188.1,0.2,5.44,1.0,5.44,3.06,41.8,0.2,5.57,261,41.802231,2.3491866
33,41.802274,2.349231,1189.0,0.9,6.29,4.0,1.57,10.62,42.7,0.21,5.63,261,41.802275,2.3492301
34,41.802318,2.349254,1184.6,-4.4,5.25,3.0,1.75,9.52,42.7,0.21,5.68,261,41.802309,2.3492635
35,41.80236,2.349307,1185.9,1.3,6.42,5.0,1.28,13.02,44.0,0.22,5.77,261,41.802358,2.3493092
