id,u,v,geometry
11,318177589,3365990587,"LINESTRING (2.3063644 41.8168293, 2.30627 41.8168524, 2.3061954 41.816859)"
12,318177589,3365990586,"LINESTRING (2.3063644 41.8168293, 2.3063203 41.8169231, 2.3063082 41.8169488)"
13,318177589,1932524303,"LINESTRING (2.3063644 41.8168293, 2.3064642 41.8167883, 2.3065505 41.8167441, 2.3067074 41.8166419, 2.3070205 41.8164339, 2.3071371 41.8163641, 2.3073116 41.8162856, 2.307622 41.8161501, 2.3077183 41.8160881, 2.3077628 41.8160362, 2.3078007 41.8159758, 2.3078229 41.8158705, 2.3078477 41.8157668, 2.3078858 41.8156654)"
14,318177615,1932515598,"LINESTRING (2.300217 41.8179382, 2.3002746 41.8179619, 2.3004129 41.8179563, 2.3004722 41.8179166, 2.3005276 41.8178504)"
15,318177615,1932515590,"LINESTRING (2.300217 41.8179382, 2.3002635 41.8179002, 2.3003009 41.817859, 2.3003468 41.8177929, 2.3003723 41.8177233)"
16,506850434,506850517,"LINESTRING (2.4237294 41.8587267, 2.424005 41.858053, 2.424379 41.857069, 2.424633 41.8564498, 2.4247991 41.8560304, 2.4248255 41.8559332, 2.4248388 41.8558294, 2.4248376 41.8556852, 2.4248189 41.8555081, 2.424765 41.855308, 2.4247498 41.8551746, 2.4247505 41.8551047, 2.4247755 41.8550446, 2.4248049 41.854998, 2.4248519 41.854953, 2.4249561 41.8548889, 2.4250572 41.8548546, 2.4251932 41.8548272, 2.4253226 41.8548129, 2.4255209 41.8548145, 2.4261492 41.8548354, 2.4264961 41.8548506, 2.4267704 41.854856, 2.4269893 41.8548537, 2.4271422 41.8548417, 2.4275274 41.854786, 2.4278238 41.8547272, 2.4280632 41.8546815, 2.4283572 41.8546, 2.4285855 41.8545231, 2.4291238 41.8543463, 2.4299367 41.8541214, 2.4304209 41.8539908, 2.4315115 41.8537063, 2.4324964 41.8535014)"
17,506850434,9397500267,"LINESTRING (2.4237294 41.8587267, 2.423139 41.860092, 2.422953 41.860392, 2.422718 41.860857, 2.42273 41.861179, 2.42269 41.86134, 2.422613 41.861443, 2.421565 41.862336, 2.420983 41.862839, 2.4208973 41.8629397, 2.4208429 41.8630043, 2.420827 41.863069, 2.420869 41.863592, 2.420897 41.863857, 2.4208801 41.8639891, 2.4208371 41.8640952, 2.420794 41.864167, 2.420257 41.864861, 2.419897 41.865504, 2.4197344 41.8657203)"
18,506850434,3182334134,"LINESTRING (2.4237294 41.8587267, 2.4235642 41.8586952, 2.4231457 41.8585806, 2.4230408 41.8585272)"
19,506850503,2278829794,"LINESTRING (2.3863835 41.8486656, 2.3864857 41.8487339, 2.386618 41.848773, 2.387382 41.848642, 2.387686 41.84862, 2.387862 41.848649, 2.388812 41.849072, 2.3890655 41.8491814)"
20,506850503,3182650204,"LINESTRING (2.3863835 41.8486656, 2.3862494 41.8486731, 2.3860954 41.8485437, 2.3859521 41.8484144)"
21,506850503,2278829721,"LINESTRING (2.3863835 41.8486656, 2.3862141 41.8482115, 2.3861982 41.848159, 2.3861924 41.8481109, 2.3861998 41.8480574, 2.3862101 41.8480146, 2.3862447 41.8479021, 2.3862534 41.8478587, 2.3862534 41.8478077, 2.3862395 41.8477545, 2.3862198 41.8477139, 2.3861808 41.8476643, 2.3861403 41.8476213, 2.3855124 41.8470726)"
