track_id,k,radius,gps_error
116686100,2,0.001,0.001
119551473,2,0.001,0.001
141252055,2,0.001,0.001
148046117,2,0.001,0.001
149603903,2,0.001,0.001
158766251,2,0.001,0.001
160837717,2,0.001,0.001
162709046,2,0.001,0.001
179545648,2,0.001,0.001
185762440,2,0.001,0.001
