lon,lat,u,v
2.6666016,42.474297,281332043.0,281332044.0
2.6666031,42.4743,281332043.0,281332044.0
2.666641,42.474518,281332044.0,281332046.0
2.6665254,42.473996,281329049.0,281332043.0
2.6665095,42.474001,281329049.0,281332043.0
2.6665819,42.473981,281329049.0,281332043.0
2.6668087,42.473917,281329049.0,281332043.0
2.6670169,42.473859,281329049.0,281332043.0
2.667164,42.47382,281329049.0,281332043.0
2.6673264,42.473778,281329049.0,281332043.0
2.6673473,42.473772,281329049.0,281332043.0
2.6676044,42.473701,281329049.0,281329058.0
2.6677977,42.473649,281329049.0,281329058.0
2.6678746,42.473628,281329049.0,281329058.0
2.668073,42.473575,281329049.0,281329058.0
2.6681781,42.473546,281329049.0,281329058.0
2.6683527,42.473499,281329049.0,281329058.0
2.6685371,42.47345,281329049.0,281329058.0
2.6686883,42.473409,281329049.0,281329058.0
2.6688716,42.473359,281329049.0,281329058.0
2.6690053,42.473323,281329049.0,281329058.0
2.6690658,42.473307,281329049.0,281329058.0
2.6691756,42.473275,281329058.0,281332039.0
2.6691955,42.473268,281329058.0,281332039.0
2.6693432,42.473221,281329058.0,281332039.0
2.6694061,42.473201,281329058.0,281332039.0
2.6694523,42.473186,281329058.0,281332039.0
2.6696362,42.473131,281331918.0,281332039.0
2.6698738,42.473175,281259737.0,281331918.0
2.6698828,42.473191,281259737.0,281331918.0
2.6698463,42.47308,281331918.0,1834715554.0
2.6698587,42.473007,281331918.0,1834715554.0
2.6698013,42.472866,1834715554.0,1909906583.0
2.6698004,42.472864,1834715554.0,1909906583.0
2.6699301,42.472841,281332019.0,1834715554.0
2.6699452,42.472834,281332019.0,1834715554.0
2.6700564,42.472783,281332019.0,1834715554.0
2.6700666,42.472731,281332019.0,1818280346.0
2.6699295,42.472571,281331920.0,1818280346.0
2.6700504,42.472618,281331920.0,281332019.0
2.6700057,42.47257,281331920.0,281332019.0
2.6700306,42.472513,281331920.0,1757531230.0
2.6701508,42.472447,1757531219.0,1757531230.0
2.6702367,42.472486,1757531219.0,1757531230.0
2.6704272,42.472571,1757531219.0,1757531230.0
2.670606,42.472636,1757531219.0,1757531230.0
2.6705804,42.472779,281331918.0,1757531219.0
2.6705984,42.472765,281331918.0,1757531219.0
2.6704164,42.473031,281332021.0,1771203031.0
2.6703887,42.473007,281332021.0,1771203031.0
2.6703794,42.472999,281332021.0,1771203031.0
2.6702884,42.472927,281332019.0,1771203031.0
2.6698562,42.473026,281331918.0,1834715554.0
2.6699315,42.473086,281331918.0,1757531219.0
2.6698866,42.473197,281259737.0,281331918.0
2.6699488,42.473307,281259737.0,281331918.0
2.6699711,42.473343,281259737.0,281331918.0
2.6700555,42.473477,281259737.0,281331918.0
2.6701142,42.473571,281259737.0,281331918.0
2.6703844,42.47351,281259737.0,281332021.0
2.6704102,42.473503,281259737.0,281332021.0
2.6704975,42.47348,281259737.0,281332021.0
2.6706014,42.473453,281259737.0,281332021.0
2.6706659,42.473435,281259737.0,281332021.0
2.6707552,42.473412,281259737.0,281332021.0
2.670919,42.473373,281332021.0,1776156243.0
2.6709882,42.473357,281332021.0,1776156243.0
2.671248,42.473296,281332021.0,1776156243.0
2.6714543,42.473258,281332021.0,1776156243.0
2.6715656,42.47324,281332021.0,1776156243.0
2.6715706,42.473239,281332021.0,1776156243.0
2.6716749,42.473227,281332021.0,1776156243.0
2.6720052,42.473218,281332021.0,1776156243.0
2.6722755,42.47324,281332021.0,1776156243.0
2.6725531,42.47326,281332021.0,1776156243.0
2.6727278,42.473253,281332021.0,1776156243.0
2.6729068,42.473243,281332021.0,1776156243.0
2.6730375,42.473235,281332021.0,1776156243.0
2.6730587,42.473234,281332021.0,1776156243.0
2.6731409,42.473228,281332021.0,1776156243.0
2.6734464,42.473208,281332021.0,1776156243.0
2.6736405,42.473248,1776156243.0,4475030356.0
2.6738073,42.473286,36872472.0,4475030356.0
2.6739037,42.473319,36872472.0,4475030356.0
2.6740579,42.473371,36872472.0,4475030356.0
2.6742512,42.473471,36872472.0,36872475.0
2.6743472,42.47353,36872472.0,36872475.0
2.6746799,42.473735,36872472.0,36872475.0
2.6747406,42.473774,36872472.0,36872475.0
2.6749519,42.473906,36872472.0,36872475.0
2.6752024,42.474169,36872475.0,1664669214.0
2.6751914,42.474207,36872475.0,1664669214.0
2.675365,42.474357,36872475.0,12110415500.0
2.675395,42.47452,36872475.0,12110415500.0
2.6754346,42.474739,36872475.0,12110415500.0
2.6754368,42.474806,36872475.0,12110415500.0
2.6754309,42.474856,36872475.0,12110415500.0
2.6754216,42.47468,36872475.0,12110415500.0
2.6753928,42.474506,36872475.0,12110415500.0
2.6753445,42.474271,36872475.0,12110415500.0
2.6753185,42.474232,36872475.0,12110415500.0
2.6751797,42.474248,36872475.0,1664669214.0
